Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Archi Cianfrocco,25.0,MON,NL,0.3,86.0,247.0,232.0,25.0,56.0,5.0,2.0,6.0,30.0,3.0,0.0,11.0,66.0,0.241,0.276,0.358,0.634,79.0,0.321,93.0,83.0,2.0,1.0,1.0,2.0,0.0,35H/7,
Bill Krueger*,34.0,MON,NL,-0.1,9.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-100.0,0.0,-223.0,0.0,0.0,0.0,1.0,0.0,0.0,/1,
Bill Landrum,34.0,MON,NL,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Bill Risley,25.0,MON,NL,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-145.0,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Bill Sampen,29.0,MON,NL,-0.1,44.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-100.0,0.0,-183.0,0.0,0.0,0.0,1.0,0.0,0.0,1,
Bob Natal,26.0,MON,NL,-0.2,5.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.143,0.0,0.143,-56.0,0.1,-69.0,0.0,1.0,0.0,0.0,0.0,0.0,/2H,
Bret Barberie#,24.0,MON,NL,0.5,111.0,343.0,285.0,26.0,66.0,11.0,0.0,1.0,24.0,9.0,5.0,47.0,62.0,0.232,0.354,0.281,0.635,83.0,0.305,83.0,80.0,4.0,8.0,1.0,2.0,3.0,5H4/6,
Brian Barnes*,25.0,MON,NL,0.3,21.0,36.0,29.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,0.276,0.3,0.276,0.576,65.0,0.266,45.0,8.0,0.0,0.0,6.0,0.0,0.0,1,
Chris Haney*,23.0,MON,NL,0.1,10.0,10.0,9.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.222,0.222,0.222,0.444,27.0,0.202,-3.0,2.0,0.0,0.0,1.0,0.0,0.0,/1H,
Chris Nabholz*,25.0,MON,NL,-0.2,32.0,73.0,65.0,3.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,12.0,0.123,0.136,0.169,0.306,-14.0,0.139,-55.0,11.0,3.0,0.0,7.0,0.0,0.0,1,
Darren Reed,26.0,MON,NL,-0.8,42.0,88.0,81.0,10.0,14.0,2.0,0.0,5.0,10.0,0.0,0.0,6.0,23.0,0.173,0.239,0.383,0.621,74.0,0.274,59.0,31.0,3.0,1.0,0.0,0.0,2.0,9H/7,
Darrin Fletcher*,25.0,MON,NL,-0.7,83.0,244.0,222.0,13.0,54.0,10.0,2.0,2.0,26.0,0.0,2.0,14.0,28.0,0.243,0.289,0.333,0.623,77.0,0.274,62.0,74.0,8.0,2.0,2.0,4.0,3.0,2H,
Delino DeShields*,23.0,MON,NL,3.2,135.0,599.0,530.0,82.0,155.0,19.0,8.0,7.0,56.0,46.0,15.0,54.0,108.0,0.292,0.359,0.398,0.757,115.0,0.353,113.0,211.0,10.0,3.0,9.0,3.0,4.0,*4/H,MVP-16
Dennis Martínez,38.0,MON,NL,0.0,32.0,84.0,74.0,3.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.189,0.189,0.189,0.378,8.0,0.172,-32.0,14.0,1.0,0.0,10.0,0.0,0.0,1,AS
Doug Simons*,25.0,MON,NL,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Eric Bullock*,32.0,MON,NL,-0.1,8.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-144.0,0.0,0.0,0.0,0.0,0.0,0.0,/H,
Gary Carter,38.0,MON,NL,0.1,95.0,325.0,285.0,24.0,62.0,18.0,1.0,5.0,29.0,0.0,4.0,33.0,37.0,0.218,0.299,0.34,0.64,81.0,0.286,74.0,97.0,4.0,2.0,1.0,4.0,4.0,2H/3,
Gil Heredia,26.0,MON,NL,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-143.0,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Greg Colbrunn,22.0,MON,NL,0.5,52.0,180.0,168.0,12.0,45.0,8.0,0.0,2.0,18.0,3.0,2.0,6.0,34.0,0.268,0.294,0.351,0.646,83.0,0.314,91.0,59.0,1.0,2.0,0.0,4.0,1.0,3/H,
Iván Calderón,30.0,MON,NL,0.0,48.0,186.0,170.0,19.0,45.0,14.0,2.0,3.0,24.0,1.0,2.0,14.0,22.0,0.265,0.323,0.424,0.746,110.0,0.335,109.0,72.0,4.0,1.0,0.0,1.0,1.0,7/H,
Jeff Fassero*,29.0,MON,NL,0.1,70.0,8.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.143,0.143,0.286,0.429,19.0,0.32,94.0,2.0,0.0,0.0,1.0,0.0,0.0,1,
Jerry Goff*,28.0,MON,NL,-0.1,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-100.0,0.0,-143.0,0.0,0.0,0.0,0.0,0.0,0.0,/H,
Jerry Willard*,32.0,MON,NL,-0.5,21.0,26.0,25.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.12,0.154,0.12,0.274,-21.0,0.168,-19.0,3.0,2.0,0.0,0.0,0.0,0.0,H/3,
John Vander Wal*,26.0,MON,NL,0.5,105.0,237.0,213.0,21.0,51.0,8.0,2.0,4.0,20.0,3.0,0.0,24.0,36.0,0.239,0.316,0.352,0.669,90.0,0.313,86.0,75.0,2.0,0.0,0.0,0.0,2.0,7H/39,
