Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Carney Lansford,35.0,OAK,AL,2.7,135.0,561.0,496.0,65.0,130.0,30.0,1.0,7.0,75.0,7.0,2.0,43.0,39.0,0.262,0.325,0.369,0.694,100.0,0.34,110.0,183.0,14.0,7.0,7.0,8.0,0.0,*53/HD6,
Dann Howitt*,28.0,OAK,AL,-0.2,22.0,54.0,48.0,1.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,4.0,0.125,0.208,0.188,0.395,15.0,0.185,-4.0,9.0,4.0,0.0,1.0,0.0,1.0,9/837DH,
Dave Henderson,33.0,OAK,AL,-0.8,20.0,65.0,63.0,1.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,16.0,0.143,0.169,0.159,0.328,-5.0,0.17,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,/8HD9,
Eric Fox#,28.0,OAK,AL,0.3,51.0,163.0,143.0,24.0,34.0,5.0,2.0,3.0,13.0,3.0,4.0,13.0,29.0,0.238,0.299,0.364,0.663,91.0,0.307,93.0,52.0,1.0,0.0,6.0,1.0,0.0,789H/D,
Gene Nelson,31.0,OAK,AL,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1/H,
Harold Baines*,33.0,OAK,AL,0.6,140.0,543.0,478.0,58.0,121.0,18.0,0.0,16.0,76.0,1.0,3.0,59.0,61.0,0.253,0.331,0.391,0.723,108.0,0.333,108.0,187.0,11.0,0.0,0.0,6.0,6.0,*D9H/7,
Henry Mercedes,22.0,OAK,AL,0.2,9.0,5.0,5.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8,0.8,1.2,2.0,470.0,0.881,495.0,6.0,0.0,0.0,0.0,0.0,0.0,/2H,
Jamie Quirk*,37.0,OAK,AL,0.3,78.0,202.0,177.0,13.0,39.0,7.0,1.0,2.0,11.0,0.0,0.0,16.0,28.0,0.22,0.294,0.305,0.6,73.0,0.299,81.0,54.0,4.0,3.0,5.0,1.0,3.0,2H/35D,
Jeff Parrett,30.0,OAK,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Jerry Browne#,26.0,OAK,AL,2.3,111.0,390.0,324.0,43.0,93.0,12.0,2.0,3.0,40.0,3.0,3.0,40.0,40.0,0.287,0.366,0.364,0.731,112.0,0.342,114.0,118.0,7.0,4.0,16.0,6.0,0.0,5847H/96D,
Jim Corsi,30.0,OAK,AL,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Joe Slusarski,25.0,OAK,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
José Canseco,27.0,OAK,AL,1.7,97.0,421.0,366.0,66.0,90.0,11.0,0.0,22.0,72.0,5.0,7.0,48.0,104.0,0.246,0.335,0.456,0.791,126.0,0.36,129.0,167.0,15.0,3.0,0.0,4.0,1.0,9D/H,
Lance Blankenship,28.0,OAK,AL,3.6,123.0,446.0,349.0,59.0,84.0,24.0,1.0,3.0,34.0,21.0,7.0,82.0,57.0,0.241,0.393,0.341,0.734,114.0,0.363,125.0,119.0,10.0,6.0,8.0,1.0,2.0,4798H/3D,
Mark McGwire,28.0,OAK,AL,6.5,139.0,571.0,467.0,87.0,125.0,22.0,0.0,42.0,104.0,0.0,1.0,90.0,105.0,0.268,0.385,0.585,0.97,176.0,0.426,174.0,273.0,10.0,5.0,0.0,9.0,12.0,*3/H,"AS,MVP-4,SS"
Mike Bordick,26.0,OAK,AL,4.3,154.0,572.0,504.0,62.0,151.0,19.0,4.0,3.0,48.0,12.0,6.0,40.0,59.0,0.3,0.358,0.371,0.729,111.0,0.344,114.0,187.0,10.0,9.0,14.0,5.0,2.0,46/H,MVP-21
Mike Kingery*,31.0,OAK,AL,-0.3,12.0,29.0,28.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.107,0.138,0.107,0.245,-28.0,0.152,-23.0,3.0,1.0,0.0,0.0,0.0,0.0,/8H79,
Mike Raczka*,29.0,OAK,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Randy Ready,32.0,OAK,AL,0.1,61.0,154.0,125.0,17.0,25.0,2.0,0.0,3.0,17.0,1.0,0.0,25.0,23.0,0.2,0.329,0.288,0.617,80.0,0.304,83.0,36.0,1.0,0.0,2.0,2.0,1.0,DH7/5349,
Rickey Henderson,33.0,OAK,AL,5.6,117.0,500.0,396.0,77.0,112.0,18.0,3.0,15.0,46.0,48.0,11.0,95.0,56.0,0.283,0.426,0.457,0.883,155.0,0.422,160.0,181.0,5.0,6.0,0.0,3.0,5.0,7/DH,
Ron Darling,31.0,OAK,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1/DH,
Rubén Sierra#,26.0,OAK,AL,0.8,27.0,117.0,101.0,17.0,28.0,4.0,1.0,3.0,17.0,2.0,0.0,14.0,9.0,0.277,0.359,0.426,0.785,126.0,0.341,109.0,43.0,2.0,0.0,0.0,2.0,6.0,9/DH,
Scott Brosius,25.0,OAK,AL,0.3,38.0,93.0,87.0,13.0,19.0,2.0,0.0,4.0,13.0,3.0,0.0,3.0,13.0,0.218,0.258,0.379,0.637,82.0,0.322,92.0,33.0,0.0,2.0,0.0,1.0,1.0,95/7H36D,
Scott Hemond,26.0,OAK,AL,0.0,17.0,30.0,27.0,7.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,7.0,0.222,0.3,0.259,0.559,63.0,0.277,60.0,7.0,2.0,0.0,0.0,0.0,0.0,/2H6579D,
Terry Steinbach,30.0,OAK,AL,4.0,128.0,488.0,438.0,48.0,122.0,20.0,1.0,12.0,53.0,2.0,3.0,45.0,58.0,0.279,0.345,0.411,0.756,117.0,0.352,121.0,180.0,20.0,1.0,0.0,3.0,3.0,*2/3HD,
Troy Neel*,26.0,OAK,AL,0.1,24.0,59.0,53.0,8.0,14.0,3.0,0.0,3.0,9.0,0.0,1.0,5.0,15.0,0.264,0.339,0.491,0.83,137.0,0.364,134.0,26.0,1.0,1.0,0.0,0.0,0.0,/7DH3,
Walt Weiss#,28.0,OAK,AL,-0.7,103.0,375.0,316.0,36.0,67.0,5.0,2.0,0.0,21.0,6.0,3.0,43.0,39.0,0.212,0.305,0.241,0.545,59.0,0.267,57.0,76.0,10.0,1.0,11.0,4.0,1.0,6/H,
Willie Wilson#,36.0,OAK,AL,2.3,132.0,437.0,396.0,38.0,107.0,15.0,5.0,0.0,37.0,28.0,8.0,35.0,65.0,0.27,0.329,0.333,0.662,92.0,0.323,94.0,132.0,11.0,1.0,2.0,3.0,2.0,*8H/D9,
