Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Al Osuna,28.0,LAD,NL,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Billy Ashley,23.0,LAD,NL,0.0,2.0,6.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.333,0.333,0.5,0.833,120.0,0.36,116.0,3.0,0.0,0.0,0.0,0.0,0.0,/7,
Brett Butler*,37.0,LAD,NL,3.4,111.0,496.0,417.0,79.0,131.0,13.0,9.0,8.0,33.0,27.0,8.0,68.0,52.0,0.314,0.411,0.446,0.857,130.0,0.396,138.0,186.0,2.0,2.0,7.0,2.0,0.0,*8,MVP-22
Brian Barnes*,27.0,LAD,NL,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Carlos Hernández,27.0,LAD,NL,-0.2,32.0,65.0,64.0,6.0,14.0,2.0,0.0,2.0,6.0,0.0,0.0,1.0,14.0,0.219,0.231,0.344,0.575,52.0,0.264,48.0,22.0,0.0,0.0,0.0,0.0,0.0,2/H,
Chan Ho Park,21.0,LAD,NL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Chris Gwynn*,29.0,LAD,NL,-0.4,58.0,78.0,71.0,9.0,19.0,0.0,0.0,3.0,13.0,0.0,2.0,7.0,7.0,0.268,0.333,0.394,0.728,94.0,0.313,92.0,28.0,1.0,0.0,0.0,0.0,0.0,H7/9,
Cory Snyder,31.0,LAD,NL,-1.2,73.0,171.0,153.0,18.0,36.0,6.0,0.0,6.0,18.0,1.0,0.0,14.0,47.0,0.235,0.3,0.392,0.692,84.0,0.303,73.0,60.0,5.0,1.0,1.0,2.0,4.0,7H9/3564,
Darren Dreifort,22.0,LAD,NL,0.1,28.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,440.0,0.899,883.0,1.0,0.0,0.0,1.0,0.0,0.0,1/H,
Dave Hansen*,25.0,LAD,NL,0.4,40.0,49.0,44.0,3.0,15.0,3.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.341,0.408,0.409,0.817,120.0,0.389,136.0,18.0,0.0,0.0,0.0,0.0,0.0,H/5,
