Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Al Martin*,26.0,PIT,NL,1.4,82.0,313.0,276.0,48.0,79.0,12.0,4.0,9.0,33.0,15.0,6.0,34.0,56.0,0.286,0.367,0.457,0.824,113.0,0.368,113.0,126.0,3.0,2.0,0.0,1.0,3.0,*78/H,
Alejandro Peña,35.0,PIT,NL,0.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-142.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Andy Van Slyke*,33.0,PIT,NL,0.5,105.0,431.0,374.0,41.0,92.0,18.0,3.0,6.0,30.0,7.0,0.0,52.0,72.0,0.246,0.34,0.358,0.698,82.0,0.326,81.0,134.0,9.0,2.0,0.0,2.0,7.0,*8/H,
Blas Minor,28.0,PIT,NL,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1,
Brian Hunter,26.0,PIT,NL,-0.9,76.0,252.0,233.0,28.0,53.0,15.0,1.0,11.0,47.0,0.0,0.0,15.0,55.0,0.227,0.27,0.442,0.712,81.0,0.309,71.0,103.0,3.0,0.0,0.0,4.0,2.0,3H/7,
Carlos García,26.0,PIT,NL,0.8,98.0,434.0,412.0,49.0,114.0,15.0,2.0,6.0,28.0,18.0,9.0,16.0,67.0,0.277,0.309,0.367,0.676,75.0,0.311,74.0,151.0,6.0,4.0,1.0,1.0,2.0,*4,AS
Dan Miceli,23.0,PIT,NL,-0.1,28.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-100.0,0.0,-149.0,0.0,1.0,0.0,0.0,0.0,0.0,1,
Dave Clark*,31.0,PIT,NL,1.2,86.0,249.0,223.0,37.0,66.0,11.0,1.0,10.0,46.0,2.0,2.0,22.0,48.0,0.296,0.355,0.489,0.844,117.0,0.372,118.0,109.0,5.0,0.0,1.0,3.0,0.0,9H/7,
Denny Neagle*,25.0,PIT,NL,0.1,24.0,47.0,42.0,2.0,8.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,13.0,0.19,0.19,0.262,0.452,16.0,0.198,-20.0,11.0,0.0,0.0,5.0,0.0,0.0,1,
Don Slaught,35.0,PIT,NL,0.9,76.0,279.0,240.0,21.0,69.0,7.0,0.0,2.0,21.0,0.0,0.0,34.0,31.0,0.288,0.381,0.342,0.723,90.0,0.336,91.0,82.0,5.0,3.0,1.0,1.0,2.0,2/H,
Gary Varsho*,33.0,PIT,NL,-0.4,67.0,90.0,82.0,15.0,21.0,6.0,3.0,0.0,5.0,0.0,1.0,4.0,19.0,0.256,0.307,0.402,0.709,83.0,0.312,77.0,33.0,1.0,2.0,2.0,0.0,1.0,H79/83,
Jay Bell,28.0,PIT,NL,3.4,110.0,487.0,424.0,68.0,117.0,35.0,4.0,9.0,45.0,2.0,0.0,49.0,82.0,0.276,0.353,0.441,0.794,105.0,0.36,108.0,187.0,15.0,3.0,8.0,3.0,1.0,*6/H,
Jeff Ballard*,30.0,PIT,NL,0.0,28.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,162.0,0.45,174.0,1.0,0.0,0.0,0.0,0.0,0.0,1,
Jeff King,29.0,PIT,NL,0.3,94.0,378.0,339.0,36.0,89.0,23.0,0.0,5.0,42.0,3.0,2.0,30.0,38.0,0.263,0.316,0.375,0.691,79.0,0.324,83.0,127.0,7.0,0.0,2.0,7.0,1.0,*5/H4,
Jeff Tabaka,30.0,PIT,NL,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Jerry Goff*,30.0,PIT,NL,-0.4,8.0,26.0,25.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.08,0.08,0.08,0.16,-58.0,0.109,-77.0,2.0,1.0,0.0,1.0,0.0,0.0,/2H,
Joel Johnston,27.0,PIT,NL,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
John Hope,23.0,PIT,NL,0.0,9.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,0.333,0.333,0.667,75.0,0.3,66.0,1.0,0.0,0.0,0.0,0.0,0.0,/1,
