Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Alan Cockrell,33.0,COL,NL,-0.1,9.0,9.0,8.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.25,0.222,0.375,0.597,42.0,0.24,8.0,3.0,0.0,0.0,0.0,1.0,0.0,/H9,
Andrés Galarraga,35.0,COL,NL,4.2,159.0,691.0,626.0,119.0,190.0,39.0,3.0,47.0,150.0,18.0,8.0,40.0,157.0,0.304,0.357,0.601,0.958,127.0,0.424,137.0,376.0,6.0,17.0,0.0,8.0,3.0,*3/5H,"MVP-6,SS"
Angel Echevarria,25.0,COL,NL,-0.2,26.0,26.0,21.0,2.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,5.0,0.286,0.346,0.286,0.632,56.0,0.292,44.0,6.0,0.0,1.0,0.0,2.0,0.0,H/97,
Armando Reynoso,30.0,COL,NL,0.1,30.0,64.0,52.0,4.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,25.0,0.173,0.246,0.192,0.438,8.0,0.227,-14.0,10.0,0.0,0.0,7.0,0.0,0.0,1,
Bill Swift,34.0,COL,NL,0.0,7.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,0.333,0.333,0.667,63.0,0.3,49.0,2.0,0.0,0.0,0.0,0.0,0.0,/1,
Bruce Ruffin#,32.0,COL,NL,0.0,71.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.5,36.0,0.357,92.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Bryan Rekar,24.0,COL,NL,0.2,14.0,17.0,15.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.267,0.313,0.333,0.646,57.0,0.35,84.0,5.0,0.0,0.0,1.0,0.0,0.0,1,
Curt Leskanic,28.0,COL,NL,0.1,70.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.333,0.333,0.667,1.0,135.0,0.42,144.0,2.0,0.0,0.0,1.0,0.0,0.0,1,
Dante Bichette,32.0,COL,NL,0.7,159.0,694.0,633.0,114.0,198.0,39.0,3.0,31.0,141.0,31.0,12.0,45.0,105.0,0.313,0.359,0.531,0.89,112.0,0.392,113.0,336.0,18.0,6.0,0.0,10.0,4.0,*97/H,"AS,MVP-20"
Darren Holmes,30.0,COL,NL,0.0,62.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.333,0.0,0.333,-9.0,0.238,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
