Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Al Leiter*,30.0,FLA,NL,-0.3,33.0,81.0,70.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,45.0,0.1,0.149,0.1,0.249,-32.0,0.136,-57.0,7.0,1.0,0.0,7.0,0.0,0.0,1,"AS,CYA-9"
Alejandro Peña,37.0,FLA,NL,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Alex Arias,28.0,FLA,NL,1.4,100.0,246.0,224.0,27.0,62.0,11.0,2.0,3.0,26.0,2.0,0.0,17.0,28.0,0.277,0.335,0.384,0.719,92.0,0.345,102.0,86.0,2.0,3.0,1.0,1.0,1.0,5H6/34,
Andre Dawson,41.0,FLA,NL,-0.1,42.0,61.0,58.0,6.0,16.0,2.0,0.0,2.0,14.0,0.0,0.0,2.0,13.0,0.276,0.311,0.414,0.725,92.0,0.335,97.0,24.0,1.0,1.0,0.0,0.0,0.0,H/7,
Andy Larkin,22.0,FLA,NL,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-138.0,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Bill Hurst,26.0,FLA,NL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Billy McMillon*,24.0,FLA,NL,-0.6,28.0,56.0,51.0,4.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,14.0,0.216,0.286,0.216,0.501,37.0,0.232,23.0,11.0,1.0,0.0,0.0,0.0,1.0,7H,
Bob Natal,30.0,FLA,NL,-1.1,44.0,105.0,90.0,4.0,12.0,1.0,1.0,0.0,2.0,0.0,1.0,15.0,31.0,0.133,0.257,0.167,0.424,17.0,0.185,-11.0,15.0,3.0,0.0,0.0,0.0,5.0,2/H,
Charles Johnson,24.0,FLA,NL,1.1,120.0,435.0,386.0,34.0,84.0,13.0,1.0,13.0,37.0,1.0,0.0,40.0,91.0,0.218,0.292,0.358,0.649,73.0,0.292,65.0,138.0,20.0,2.0,2.0,4.0,6.0,*2/H,GG
Chris Hammond*,30.0,FLA,NL,-0.1,38.0,18.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.067,0.125,0.067,0.192,-47.0,0.101,-89.0,1.0,0.0,0.0,2.0,0.0,0.0,1,
Craig Grebeck,31.0,FLA,NL,-0.1,50.0,103.0,95.0,8.0,20.0,1.0,0.0,1.0,9.0,0.0,0.0,4.0,14.0,0.211,0.245,0.253,0.498,34.0,0.231,21.0,24.0,2.0,1.0,1.0,2.0,1.0,4H/65,
David Weathers,26.0,FLA,NL,0.1,32.0,20.0,19.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,13.0,0.158,0.2,0.316,0.516,36.0,0.274,54.0,6.0,0.0,1.0,0.0,0.0,0.0,1/H,
Devon White#,33.0,FLA,NL,3.3,146.0,611.0,552.0,77.0,151.0,37.0,6.0,17.0,84.0,22.0,6.0,38.0,99.0,0.274,0.325,0.455,0.779,106.0,0.346,102.0,251.0,8.0,8.0,4.0,9.0,6.0,*8/H,
Donn Pall,34.0,FLA,NL,0.0,12.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.0,0.333,0.0,0.238,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Félix Heredia*,21.0,FLA,NL,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Gary Sheffield,27.0,FLA,NL,5.9,161.0,677.0,519.0,118.0,163.0,33.0,1.0,42.0,120.0,16.0,9.0,142.0,66.0,0.314,0.465,0.624,1.09,189.0,0.467,193.0,324.0,16.0,10.0,0.0,6.0,19.0,*9/H,"AS,MVP-6,SS"
