Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Aaron Boone,25.0,CIN,NL,0.6,58.0,206.0,181.0,24.0,51.0,13.0,2.0,2.0,28.0,6.0,1.0,15.0,36.0,0.282,0.35,0.409,0.759,98.0,0.346,95.0,74.0,3.0,5.0,3.0,2.0,1.0,5/H46,
Barry Larkin,34.0,CIN,NL,5.7,145.0,626.0,538.0,93.0,166.0,34.0,10.0,17.0,72.0,26.0,3.0,79.0,69.0,0.309,0.397,0.504,0.901,134.0,0.405,136.0,271.0,12.0,2.0,4.0,3.0,5.0,*6/H,SS
Bret Boone,29.0,CIN,NL,1.5,157.0,648.0,583.0,76.0,155.0,38.0,1.0,24.0,95.0,6.0,4.0,48.0,104.0,0.266,0.324,0.458,0.782,102.0,0.348,101.0,267.0,23.0,4.0,9.0,4.0,3.0,*4/H,"AS,GG"
Brett Tomko,25.0,CIN,NL,-0.2,35.0,79.0,65.0,4.0,7.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,29.0,0.108,0.157,0.123,0.28,-25.0,0.162,-49.0,8.0,0.0,0.0,9.0,1.0,0.0,1/H,
Brook Fordyce,28.0,CIN,NL,0.2,57.0,158.0,146.0,8.0,37.0,9.0,0.0,3.0,14.0,0.0,1.0,11.0,28.0,0.253,0.306,0.377,0.682,77.0,0.306,72.0,55.0,2.0,0.0,1.0,0.0,3.0,2/H,
Chris Stynes,25.0,CIN,NL,0.9,123.0,389.0,347.0,52.0,88.0,10.0,1.0,6.0,27.0,15.0,1.0,32.0,36.0,0.254,0.323,0.34,0.663,74.0,0.324,77.0,118.0,5.0,4.0,4.0,1.0,1.0,7H594/68,
Damian Jackson,24.0,CIN,NL,0.3,13.0,45.0,38.0,4.0,12.0,5.0,0.0,0.0,7.0,2.0,0.0,6.0,4.0,0.316,0.4,0.447,0.847,121.0,0.407,134.0,17.0,1.0,0.0,0.0,1.0,0.0,6/8H,
Danny Graves,24.0,CIN,NL,-0.1,59.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-100.0,0.0,-145.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
David Weathers,28.0,CIN,NL,0.1,16.0,20.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,10.0,0.067,0.176,0.267,0.443,14.0,0.204,-21.0,4.0,0.0,0.0,3.0,0.0,0.0,1,
Dennys Reyes,21.0,CIN,NL,0.0,8.0,12.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.083,0.083,0.167,0.25,-37.0,0.182,-18.0,2.0,0.0,0.0,0.0,0.0,0.0,/1,
Dmitri Young#,24.0,CIN,NL,1.7,144.0,590.0,536.0,81.0,166.0,48.0,1.0,14.0,83.0,2.0,4.0,47.0,94.0,0.31,0.364,0.481,0.846,119.0,0.372,119.0,258.0,16.0,2.0,0.0,5.0,4.0,739/H,
Ed Taubensee*,29.0,CIN,NL,1.5,130.0,491.0,431.0,61.0,120.0,27.0,0.0,11.0,72.0,1.0,0.0,52.0,93.0,0.278,0.352,0.418,0.769,100.0,0.35,101.0,180.0,4.0,0.0,2.0,6.0,6.0,*2H,
