Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Andy Fox*,29.0,ARI,NL,-0.4,31.0,90.0,86.0,10.0,18.0,4.0,0.0,1.0,10.0,2.0,1.0,4.0,16.0,0.209,0.244,0.291,0.535,33.0,0.254,24.0,25.0,1.0,0.0,0.0,0.0,1.0,5/H9378,
Armando Reynoso,34.0,ARI,NL,-0.3,30.0,57.0,48.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,0.104,0.14,0.104,0.244,-38.0,0.138,-78.0,5.0,0.0,0.0,7.0,0.0,0.0,1,
Bernard Gilkey,33.0,ARI,NL,-1.0,38.0,81.0,73.0,6.0,8.0,1.0,0.0,2.0,6.0,0.0,0.0,7.0,16.0,0.11,0.185,0.205,0.391,-3.0,0.191,-22.0,15.0,3.0,0.0,0.0,1.0,2.0,H9/7,
Brian Anderson#,28.0,ARI,NL,-0.1,35.0,81.0,69.0,4.0,13.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,10.0,0.188,0.194,0.232,0.426,6.0,0.187,-37.0,16.0,1.0,0.0,9.0,2.0,0.0,1/H,
Byung-Hyun Kim,21.0,ARI,NL,0.0,58.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.25,0.0,0.25,-30.0,0.181,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Craig Counsell*,29.0,ARI,NL,1.1,67.0,177.0,152.0,23.0,48.0,8.0,1.0,2.0,11.0,3.0,3.0,20.0,18.0,0.316,0.4,0.421,0.821,105.0,0.365,105.0,64.0,4.0,2.0,1.0,1.0,0.0,H45/6,
Curt Schilling,33.0,ARI,NL,0.1,13.0,38.0,31.0,2.0,8.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,11.0,0.258,0.258,0.323,0.581,43.0,0.238,8.0,10.0,0.0,0.0,7.0,0.0,0.0,1,
Damian Miller,30.0,ARI,NL,2.0,100.0,364.0,324.0,43.0,89.0,24.0,0.0,10.0,44.0,2.0,2.0,36.0,74.0,0.275,0.347,0.441,0.788,95.0,0.351,93.0,143.0,6.0,1.0,1.0,2.0,4.0,2/H3,
Dan Plesac*,38.0,ARI,NL,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Danny Bautista,28.0,ARI,NL,0.7,87.0,294.0,262.0,45.0,83.0,16.0,7.0,7.0,47.0,5.0,2.0,20.0,30.0,0.317,0.366,0.511,0.877,115.0,0.381,113.0,134.0,10.0,3.0,4.0,5.0,4.0,98H/7,
Danny Klassen,24.0,ARI,NL,-0.2,29.0,87.0,76.0,13.0,18.0,3.0,0.0,2.0,8.0,1.0,1.0,8.0,24.0,0.237,0.318,0.355,0.673,67.0,0.312,67.0,27.0,0.0,1.0,2.0,0.0,0.0,5/6H,
Darren Holmes,34.0,ARI,NL,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
David Dellucci*,26.0,ARI,NL,-0.1,34.0,54.0,50.0,2.0,15.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,9.0,0.3,0.352,0.36,0.712,78.0,0.321,85.0,18.0,1.0,0.0,0.0,0.0,0.0,H9/7,
Erubiel Durazo*,26.0,ARI,NL,0.3,67.0,233.0,196.0,35.0,52.0,11.0,0.0,8.0,33.0,1.0,0.0,34.0,43.0,0.265,0.373,0.444,0.817,103.0,0.364,101.0,87.0,3.0,1.0,0.0,2.0,2.0,3H,
Geraldo Guzmán,27.0,ARI,NL,-0.4,13.0,22.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,-100.0,0.0,-191.0,0.0,0.0,0.0,3.0,0.0,0.0,1,
Greg Colbrunn,30.0,ARI,NL,2.0,116.0,385.0,329.0,48.0,103.0,22.0,1.0,15.0,57.0,0.0,1.0,43.0,45.0,0.313,0.405,0.523,0.928,129.0,0.406,131.0,172.0,13.0,10.0,0.0,3.0,2.0,3H/D5,
Greg Swindell,35.0,ARI,NL,0.0,61.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-385.0,0.0,0.0,0.0,1.0,0.0,0.0,1,
Hanley Frías#,26.0,ARI,NL,-0.3,75.0,129.0,112.0,18.0,23.0,5.0,0.0,2.0,6.0,2.0,2.0,17.0,18.0,0.205,0.31,0.304,0.614,54.0,0.296,57.0,34.0,3.0,0.0,0.0,0.0,0.0,H64/5,
Jason Conti*,25.0,ARI,NL,0.0,47.0,99.0,91.0,11.0,21.0,4.0,3.0,1.0,15.0,3.0,0.0,7.0,30.0,0.231,0.293,0.374,0.667,65.0,0.293,45.0,34.0,2.0,1.0,0.0,0.0,2.0,9H/87,
Jay Bell,34.0,ARI,NL,0.8,149.0,649.0,565.0,87.0,151.0,30.0,6.0,18.0,68.0,7.0,3.0,70.0,88.0,0.267,0.348,0.437,0.786,94.0,0.352,92.0,247.0,7.0,3.0,6.0,5.0,0.0,*4/HD,
