Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
B.J. Waszgis,29.0,TEX,AL,-0.5,24.0,51.0,45.0,6.0,10.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,10.0,0.222,0.294,0.244,0.539,39.0,0.257,31.0,11.0,1.0,1.0,0.0,1.0,0.0,2/3,
Bill Haselman,34.0,TEX,AL,1.3,62.0,210.0,193.0,23.0,53.0,18.0,0.0,6.0,26.0,0.0,1.0,15.0,36.0,0.275,0.329,0.461,0.79,97.0,0.366,107.0,89.0,1.0,1.0,0.0,1.0,0.0,2,
Chad Curtis,31.0,TEX,AL,0.3,108.0,381.0,335.0,48.0,91.0,25.0,1.0,8.0,48.0,3.0,3.0,37.0,71.0,0.272,0.343,0.424,0.767,93.0,0.346,94.0,142.0,12.0,1.0,5.0,3.0,0.0,79HD,
Darren Oliver,29.0,TEX,AL,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.0,0.333,-5.0,0.254,28.0,0.0,0.0,1.0,0.0,0.0,0.0,1,
Dave Martinez*,35.0,TEX,AL,0.5,38.0,134.0,119.0,14.0,32.0,4.0,1.0,2.0,12.0,2.0,1.0,14.0,20.0,0.269,0.351,0.37,0.72,83.0,0.322,75.0,44.0,8.0,1.0,0.0,0.0,2.0,9/3H,
David Segui#,33.0,TEX,AL,1.6,93.0,389.0,351.0,52.0,118.0,29.0,1.0,11.0,57.0,0.0,1.0,34.0,51.0,0.336,0.391,0.519,0.909,128.0,0.399,129.0,182.0,12.0,0.0,0.0,4.0,1.0,D3/H,
Doug Davis,24.0,TEX,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Esteban Loaiza,28.0,TEX,AL,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-146.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Francisco Cordero,25.0,TEX,AL,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Frank Catalanotto*,26.0,TEX,AL,1.2,103.0,326.0,282.0,55.0,82.0,13.0,2.0,10.0,42.0,6.0,2.0,33.0,36.0,0.291,0.375,0.457,0.832,109.0,0.38,115.0,129.0,5.0,6.0,3.0,2.0,0.0,4HD3/9,
Gabe Kapler,24.0,TEX,AL,1.6,116.0,491.0,444.0,59.0,134.0,32.0,1.0,14.0,66.0,8.0,4.0,42.0,57.0,0.302,0.36,0.473,0.833,109.0,0.378,114.0,210.0,12.0,0.0,2.0,3.0,2.0,*89/H,
Iván Rodríguez,28.0,TEX,AL,4.8,91.0,389.0,363.0,66.0,126.0,27.0,4.0,27.0,83.0,5.0,5.0,19.0,48.0,0.347,0.375,0.667,1.042,156.0,0.433,155.0,242.0,17.0,1.0,0.0,6.0,5.0,2/HD,"AS,GG"
Jason McDonald#,28.0,TEX,AL,0.7,38.0,114.0,94.0,15.0,22.0,5.0,0.0,3.0,13.0,4.0,4.0,17.0,25.0,0.234,0.357,0.383,0.74,88.0,0.336,92.0,36.0,2.0,1.0,2.0,0.0,0.0,97/H8D,
Jeff Zimmerman,27.0,TEX,AL,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
John Wetteland,33.0,TEX,AL,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Kelly Dransfeldt,25.0,TEX,AL,0.0,16.0,27.0,26.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,14.0,0.115,0.148,0.192,0.34,-15.0,0.153,-40.0,5.0,0.0,0.0,0.0,0.0,0.0,6/H4,
Kenny Rogers*,35.0,TEX,AL,0.1,3.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,155.0,0.453,181.0,2.0,0.0,0.0,1.0,0.0,0.0,1,GG
Luis Alicea#,34.0,TEX,AL,1.1,139.0,619.0,540.0,85.0,159.0,25.0,8.0,6.0,63.0,1.0,3.0,59.0,75.0,0.294,0.365,0.404,0.769,95.0,0.348,95.0,218.0,13.0,5.0,7.0,7.0,1.0,*4/5DH6,
Matt Perisho*,25.0,TEX,AL,-0.1,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-100.0,0.0,-146.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Michael Young,23.0,TEX,AL,-0.1,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-146.0,0.0,0.0,0.0,0.0,0.0,0.0,/4H,
