Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Adam Kennedy*,25.0,ANA,AL,1.6,137.0,532.0,478.0,48.0,129.0,25.0,3.0,6.0,40.0,12.0,7.0,27.0,71.0,0.27,0.318,0.372,0.69,81.0,0.306,75.0,178.0,7.0,11.0,7.0,9.0,3.0,*4/HD,
Al Levine*,33.0,ANA,AL,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Ben Weber,31.0,ANA,AL,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Bengie Molina,26.0,ANA,AL,0.6,96.0,355.0,325.0,31.0,85.0,11.0,0.0,6.0,40.0,0.0,1.0,16.0,51.0,0.262,0.309,0.351,0.66,73.0,0.299,70.0,114.0,8.0,8.0,2.0,4.0,3.0,2/HD,
Benji Gil,28.0,ANA,AL,1.4,104.0,278.0,260.0,33.0,77.0,15.0,4.0,8.0,39.0,3.0,4.0,14.0,57.0,0.296,0.33,0.477,0.807,109.0,0.353,111.0,124.0,6.0,0.0,2.0,2.0,0.0,6H43D/8,
Darin Erstad*,27.0,ANA,AL,2.9,157.0,716.0,631.0,89.0,163.0,35.0,1.0,9.0,63.0,24.0,10.0,62.0,113.0,0.258,0.331,0.36,0.691,82.0,0.316,81.0,227.0,8.0,10.0,1.0,7.0,7.0,*83/D,
David Eckstein,26.0,ANA,AL,4.2,153.0,664.0,582.0,82.0,166.0,26.0,2.0,4.0,41.0,29.0,4.0,43.0,60.0,0.285,0.355,0.357,0.712,89.0,0.351,101.0,208.0,11.0,21.0,16.0,2.0,0.0,*64D/H,ROY-4
Garret Anderson*,29.0,ANA,AL,2.7,161.0,704.0,672.0,83.0,194.0,39.0,2.0,28.0,123.0,13.0,6.0,27.0,100.0,0.289,0.314,0.478,0.792,104.0,0.347,103.0,321.0,12.0,0.0,0.0,5.0,4.0,*78D,MVP-21
Glenallen Hill,36.0,ANA,AL,-1.1,16.0,66.0,66.0,4.0,9.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,20.0,0.136,0.136,0.182,0.318,-17.0,0.152,-34.0,12.0,3.0,0.0,0.0,0.0,0.0,D,
Ismael Valdéz,27.0,ANA,AL,0.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.2,0.2,0.2,0.4,6.0,0.226,-15.0,1.0,0.0,0.0,0.0,0.0,0.0,1,
