Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
A.J. Pierzynski*,25.0,MIN,AL,2.4,130.0,469.0,440.0,54.0,132.0,31.0,6.0,6.0,49.0,1.0,2.0,13.0,61.0,0.3,0.334,0.439,0.773,104.0,0.343,105.0,193.0,14.0,11.0,2.0,3.0,1.0,*2H,AS
Bobby Kielty#,25.0,MIN,AL,2.7,112.0,348.0,289.0,49.0,84.0,14.0,3.0,12.0,46.0,4.0,1.0,52.0,66.0,0.291,0.405,0.484,0.89,136.0,0.39,136.0,140.0,4.0,5.0,0.0,2.0,4.0,98HD/73,ROY-4
Brian Buchanan,28.0,MIN,AL,0.3,44.0,143.0,135.0,19.0,34.0,5.0,1.0,5.0,15.0,2.0,1.0,6.0,33.0,0.252,0.294,0.415,0.709,86.0,0.333,97.0,56.0,4.0,2.0,0.0,0.0,0.0,9D/H,
Casey Blake,28.0,MIN,AL,-0.2,9.0,22.0,20.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,0.2,0.273,0.25,0.523,41.0,0.243,34.0,5.0,0.0,0.0,0.0,0.0,0.0,/53HD,
Corey Koskie*,29.0,MIN,AL,4.0,140.0,576.0,490.0,71.0,131.0,37.0,3.0,15.0,69.0,10.0,11.0,72.0,127.0,0.267,0.368,0.447,0.815,116.0,0.355,116.0,219.0,14.0,9.0,0.0,5.0,4.0,*5/HD,
Cristian Guzmán#,24.0,MIN,AL,1.5,148.0,656.0,623.0,80.0,170.0,31.0,6.0,9.0,59.0,12.0,13.0,17.0,79.0,0.273,0.292,0.385,0.677,79.0,0.299,77.0,240.0,12.0,2.0,8.0,6.0,2.0,*6/HD,
David Lamb#,27.0,MIN,AL,-0.3,7.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.1,0.1,0.2,-46.0,0.089,-74.0,1.0,1.0,0.0,0.0,0.0,0.0,/64H5,
David Ortiz*,26.0,MIN,AL,1.3,125.0,466.0,412.0,52.0,112.0,32.0,1.0,20.0,75.0,1.0,2.0,43.0,87.0,0.272,0.339,0.5,0.839,120.0,0.362,118.0,206.0,5.0,3.0,0.0,8.0,0.0,DH3,
Denny Hocking#,32.0,MIN,AL,0.1,102.0,294.0,260.0,28.0,65.0,13.0,0.0,2.0,25.0,0.0,2.0,24.0,44.0,0.25,0.31,0.323,0.633,70.0,0.285,65.0,84.0,3.0,1.0,4.0,5.0,0.0,465H/398,
Doug Mientkiewicz*,28.0,MIN,AL,1.4,143.0,554.0,467.0,60.0,122.0,29.0,1.0,10.0,64.0,1.0,2.0,74.0,69.0,0.261,0.365,0.392,0.756,102.0,0.339,102.0,183.0,7.0,6.0,0.0,7.0,8.0,*3/H,
