Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Aaron Boone,30.0,NYY,AL,1.4,54.0,209.0,189.0,31.0,48.0,13.0,0.0,6.0,31.0,8.0,0.0,11.0,30.0,0.254,0.302,0.418,0.72,90.0,0.348,102.0,79.0,7.0,3.0,3.0,2.0,0.0,5,
Alfonso Soriano,27.0,NYY,AL,5.4,156.0,734.0,682.0,114.0,198.0,36.0,5.0,38.0,91.0,35.0,8.0,38.0,130.0,0.29,0.338,0.525,0.863,126.0,0.381,128.0,358.0,8.0,12.0,0.0,2.0,7.0,*4/H,"AS,MVP-20"
Andy Pettitte*,31.0,NYY,AL,0.0,3.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.143,0.143,0.143,0.286,-23.0,0.13,-44.0,1.0,0.0,0.0,0.0,0.0,0.0,1,CYA-6
Antonio Osuna,30.0,NYY,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Bernie Williams#,34.0,NYY,AL,1.0,119.0,521.0,445.0,77.0,117.0,19.0,1.0,15.0,64.0,5.0,0.0,71.0,61.0,0.263,0.367,0.411,0.778,107.0,0.353,110.0,183.0,21.0,3.0,0.0,2.0,8.0,*8/DH,
Brandon Claussen,24.0,NYY,AL,0.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.5,34.0,0.204,6.0,1.0,0.0,0.0,0.0,0.0,0.0,/1,
Bubba Trammell,31.0,NYY,AL,-0.1,22.0,61.0,55.0,4.0,11.0,5.0,0.0,0.0,5.0,0.0,0.0,6.0,10.0,0.2,0.279,0.291,0.57,53.0,0.291,69.0,16.0,1.0,0.0,0.0,0.0,0.0,D/H7,
Charles Gipson,30.0,NYY,AL,-0.1,18.0,12.0,10.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.2,0.273,0.2,0.473,29.0,0.217,13.0,2.0,0.0,0.0,1.0,0.0,0.0,H/8D,
Chris Hammond*,37.0,NYY,AL,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Chris Latham#,30.0,NYY,AL,0.1,4.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,437.0,0.98,464.0,2.0,0.0,0.0,0.0,0.0,0.0,/H89D,
Curtis Pride*,34.0,NYY,AL,0.0,4.0,12.0,12.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.083,0.083,0.333,0.417,4.0,0.24,32.0,4.0,1.0,0.0,0.0,0.0,0.0,/97H,
Dan Miceli,32.0,NYY,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
David Dellucci*,29.0,NYY,AL,-0.1,21.0,58.0,51.0,8.0,9.0,1.0,0.0,1.0,4.0,3.0,0.0,4.0,13.0,0.176,0.263,0.255,0.518,39.0,0.255,33.0,13.0,2.0,2.0,1.0,0.0,0.0,9/H7D8,
David Wells*,40.0,NYY,AL,0.0,2.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.167,0.167,0.333,0.5,29.0,0.207,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1,
Derek Jeter,29.0,NYY,AL,3.6,119.0,542.0,482.0,87.0,156.0,25.0,3.0,10.0,52.0,11.0,5.0,43.0,88.0,0.324,0.393,0.45,0.844,125.0,0.379,130.0,217.0,10.0,13.0,3.0,1.0,2.0,*6/H,MVP-21
Drew Henson,23.0,NYY,AL,0.0,5.0,8.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.125,0.125,0.125,0.25,-33.0,0.114,-55.0,1.0,0.0,0.0,0.0,0.0,0.0,/5H,
Enrique Wilson#,29.0,NYY,AL,-0.4,63.0,147.0,135.0,18.0,31.0,9.0,0.0,3.0,15.0,3.0,1.0,7.0,14.0,0.23,0.276,0.363,0.639,69.0,0.282,60.0,49.0,3.0,2.0,2.0,1.0,0.0,65H4/D,
Erick Almonte,25.0,NYY,AL,-0.4,31.0,111.0,100.0,17.0,26.0,6.0,0.0,1.0,11.0,1.0,0.0,8.0,24.0,0.26,0.321,0.35,0.671,79.0,0.312,81.0,35.0,3.0,1.0,2.0,0.0,0.0,6,
Fernando Seguignol#,28.0,NYY,AL,0.0,5.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.143,0.25,0.143,0.393,9.0,0.317,86.0,1.0,0.0,0.0,0.0,0.0,0.0,/3HD,
Hideki Matsui*,29.0,NYY,AL,2.3,163.0,695.0,623.0,82.0,179.0,42.0,1.0,16.0,106.0,2.0,2.0,63.0,86.0,0.287,0.353,0.435,0.788,109.0,0.351,111.0,271.0,25.0,3.0,0.0,6.0,5.0,*78/DH,"AS,ROY-2"
Jason Anderson*,24.0,NYY,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Jason Giambi*,32.0,NYY,AL,4.8,156.0,690.0,535.0,97.0,134.0,25.0,0.0,41.0,107.0,2.0,1.0,129.0,140.0,0.25,0.412,0.527,0.939,148.0,0.406,149.0,282.0,9.0,21.0,0.0,5.0,9.0,3D/H,"AS,MVP-13"
Jeff Weaver,26.0,NYY,AL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
John Flaherty,35.0,NYY,AL,0.6,40.0,116.0,105.0,16.0,28.0,8.0,0.0,4.0,14.0,0.0,0.0,4.0,19.0,0.267,0.297,0.457,0.754,97.0,0.349,109.0,48.0,6.0,1.0,5.0,1.0,1.0,2/H,
Jorge Posada#,32.0,NYY,AL,5.9,142.0,588.0,481.0,83.0,135.0,24.0,0.0,30.0,101.0,2.0,4.0,93.0,110.0,0.281,0.405,0.518,0.922,144.0,0.406,151.0,249.0,13.0,10.0,0.0,4.0,6.0,*2/HD,"AS,MVP-3,SS"
José Contreras,31.0,NYY,AL,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-100.0,0.0,-135.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Juan Acevedo,33.0,NYY,AL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Juan Rivera,24.0,NYY,AL,0.7,57.0,185.0,173.0,22.0,46.0,14.0,0.0,7.0,26.0,0.0,0.0,10.0,27.0,0.266,0.304,0.468,0.773,102.0,0.338,101.0,81.0,8.0,0.0,1.0,1.0,1.0,79/H,
Karim García*,27.0,NYY,AL,0.4,52.0,161.0,151.0,17.0,46.0,5.0,0.0,6.0,21.0,0.0,2.0,9.0,32.0,0.305,0.342,0.457,0.799,111.0,0.349,113.0,69.0,4.0,0.0,0.0,1.0,1.0,97/H8D,
Luis Sojo,38.0,NYY,AL,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-137.0,0.0,0.0,0.0,0.0,0.0,0.0,/34DH,
Mariano Rivera,33.0,NYY,AL,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,MVP-27
Michel Hernández,24.0,NYY,AL,0.0,5.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.4,0.25,0.65,80.0,0.324,92.0,1.0,0.0,0.0,0.0,0.0,0.0,/2H,
Mike Mussina*,34.0,NYY,AL,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-132.0,0.0,0.0,0.0,0.0,0.0,0.0,1,GG
Nick Johnson*,24.0,NYY,AL,2.5,96.0,406.0,324.0,60.0,92.0,19.0,0.0,14.0,47.0,5.0,2.0,70.0,57.0,0.284,0.422,0.472,0.894,138.0,0.395,141.0,153.0,9.0,8.0,3.0,1.0,4.0,3D/H,
Raúl Mondesi,32.0,NYY,AL,2.3,98.0,403.0,361.0,56.0,93.0,23.0,3.0,16.0,49.0,17.0,7.0,38.0,66.0,0.258,0.33,0.471,0.801,110.0,0.349,109.0,170.0,6.0,2.0,0.0,2.0,6.0,9/DH,
Robin Ventura*,35.0,NYY,AL,1.7,89.0,326.0,283.0,31.0,71.0,13.0,0.0,9.0,42.0,0.0,0.0,40.0,62.0,0.251,0.344,0.392,0.736,96.0,0.334,98.0,111.0,8.0,0.0,3.0,0.0,2.0,5H/D4,
Roger Clemens,40.0,NYY,AL,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-383.0,0.0,0.0,0.0,1.0,0.0,0.0,1,AS
Rubén Sierra#,37.0,NYY,AL,0.1,63.0,189.0,174.0,19.0,48.0,8.0,1.0,6.0,31.0,1.0,0.0,13.0,20.0,0.276,0.323,0.437,0.76,100.0,0.335,98.0,76.0,7.0,0.0,0.0,2.0,2.0,DH9/7,
Sterling Hitchcock*,32.0,NYY,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Todd Zeile,37.0,NYY,AL,-0.4,66.0,214.0,186.0,29.0,39.0,8.0,0.0,6.0,23.0,0.0,0.0,24.0,36.0,0.21,0.294,0.349,0.644,71.0,0.298,73.0,65.0,3.0,0.0,0.0,4.0,0.0,53H/D,
