Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Alex Gonzalez,31.0,CHC,NL,0.0,37.0,135.0,129.0,15.0,28.0,10.0,0.0,3.0,8.0,1.0,1.0,4.0,26.0,0.217,0.241,0.364,0.605,53.0,0.272,46.0,47.0,6.0,0.0,2.0,0.0,0.0,6/H,
Andy Pratt*,24.0,CHC,NL,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Aramis Ramírez,26.0,CHC,NL,4.4,145.0,606.0,547.0,99.0,174.0,32.0,1.0,36.0,103.0,0.0,2.0,49.0,62.0,0.318,0.373,0.578,0.951,139.0,0.411,148.0,316.0,25.0,3.0,0.0,7.0,6.0,*5/H,MVP-10
Ben Grieve*,28.0,CHC,NL,0.1,15.0,19.0,16.0,2.0,4.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,5.0,0.25,0.316,0.563,0.878,119.0,0.361,110.0,9.0,0.0,2.0,0.0,1.0,0.0,H/97,
Brendan Harris,23.0,CHC,NL,-0.1,3.0,10.0,9.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.222,0.3,0.333,0.633,63.0,0.286,56.0,3.0,0.0,0.0,0.0,0.0,0.0,/5,
Calvin Murray,32.0,CHC,NL,0.2,11.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2,0.333,0.2,0.533,42.0,0.253,31.0,1.0,0.0,0.0,0.0,0.0,0.0,/8H97,
Carlos Zambrano#,23.0,CHC,NL,0.6,30.0,82.0,70.0,8.0,16.0,1.0,0.0,1.0,5.0,0.0,0.0,3.0,29.0,0.229,0.257,0.286,0.542,39.0,0.266,35.0,20.0,2.0,0.0,8.0,1.0,0.0,1,"AS,CYA-5,MVP-28"
Corey Patterson*,24.0,CHC,NL,3.0,157.0,687.0,631.0,91.0,168.0,33.0,6.0,24.0,72.0,32.0,9.0,45.0,168.0,0.266,0.32,0.452,0.771,95.0,0.342,93.0,285.0,7.0,5.0,5.0,1.0,7.0,*8/H,
Damian Jackson,30.0,CHC,NL,-0.5,7.0,18.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,6.0,0.067,0.222,0.267,0.489,25.0,0.169,-45.0,4.0,0.0,0.0,0.0,0.0,2.0,/4H,
David Kelton,24.0,CHC,NL,0.0,8.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1,0.1,0.2,0.3,-26.0,0.125,-61.0,2.0,0.0,0.0,0.0,0.0,0.0,/H79,
Derrek Lee,28.0,CHC,NL,2.7,161.0,688.0,605.0,90.0,168.0,39.0,1.0,32.0,98.0,12.0,5.0,68.0,128.0,0.278,0.356,0.504,0.86,118.0,0.38,124.0,305.0,14.0,8.0,2.0,5.0,4.0,*3/H,
