Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Alex Gonzalez,32.0,TBD,AL,1.6,109.0,383.0,349.0,47.0,94.0,20.0,1.0,9.0,38.0,2.0,1.0,26.0,74.0,0.269,0.323,0.41,0.733,96.0,0.336,102.0,143.0,13.0,3.0,2.0,3.0,1.0,56/H,
Aubrey Huff*,28.0,TBD,AL,0.9,154.0,636.0,575.0,70.0,150.0,26.0,2.0,22.0,92.0,8.0,7.0,49.0,88.0,0.261,0.321,0.428,0.749,99.0,0.322,93.0,246.0,12.0,5.0,0.0,7.0,13.0,9D3/H5,
Carl Crawford*,23.0,TBD,AL,4.4,156.0,687.0,644.0,101.0,194.0,33.0,15.0,15.0,81.0,46.0,8.0,27.0,84.0,0.301,0.331,0.469,0.8,112.0,0.356,109.0,302.0,11.0,5.0,5.0,6.0,1.0,*7/8HD,
Casey Fossum*,27.0,TBD,AL,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-254.0,0.0,0.0,0.0,1.0,0.0,0.0,1,
Chad Orvella,24.0,TBD,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Charles Johnson,33.0,TBD,AL,0.1,19.0,55.0,46.0,5.0,9.0,4.0,0.0,0.0,5.0,0.0,0.0,9.0,11.0,0.196,0.327,0.283,0.61,67.0,0.287,67.0,13.0,2.0,0.0,0.0,0.0,0.0,2,
Chris Singleton*,32.0,TBD,AL,0.1,28.0,68.0,59.0,9.0,16.0,5.0,0.0,0.0,11.0,0.0,0.0,6.0,14.0,0.271,0.348,0.356,0.704,91.0,0.318,88.0,21.0,1.0,1.0,1.0,0.0,0.0,H9/8D7,
Damon Hollins,31.0,TBD,AL,0.2,120.0,369.0,342.0,44.0,85.0,17.0,1.0,13.0,46.0,8.0,1.0,23.0,63.0,0.249,0.296,0.418,0.714,89.0,0.313,83.0,143.0,8.0,1.0,1.0,2.0,0.0,*89H/7,
Danys Báez,27.0,TBD,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,AS
Doug Waechter,24.0,TBD,AL,-0.1,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-254.0,0.0,0.0,0.0,1.0,0.0,0.0,1,
Eduardo Pérez,35.0,TBD,AL,0.4,77.0,190.0,161.0,23.0,41.0,6.0,0.0,11.0,28.0,0.0,2.0,26.0,30.0,0.255,0.368,0.497,0.865,130.0,0.374,133.0,80.0,6.0,3.0,0.0,0.0,0.0,3H/D579,
Eric Munson*,27.0,TBD,AL,-0.3,11.0,24.0,18.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,0.167,0.333,0.222,0.556,54.0,0.276,59.0,4.0,2.0,1.0,0.0,1.0,0.0,/HD537,
Fernando Cortez*,23.0,TBD,AL,-0.4,8.0,14.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.077,0.143,0.077,0.22,-38.0,0.18,-9.0,1.0,0.0,0.0,0.0,0.0,0.0,/H465,
Franklin Núñez,28.0,TBD,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Hideo Nomo,36.0,TBD,AL,-0.1,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-135.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Jesús Colomé,27.0,TBD,AL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
