Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Aaron Hill,23.0,TOR,AL,1.5,105.0,407.0,361.0,49.0,99.0,25.0,3.0,3.0,40.0,2.0,1.0,34.0,41.0,0.274,0.342,0.385,0.727,92.0,0.331,94.0,139.0,5.0,5.0,3.0,4.0,0.0,5D46/H,
Andy Dominique,29.0,TOR,AL,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.333,0.0,0.246,33.0,0.0,0.0,1.0,0.0,0.0,0.0,/2H,
Corey Koskie*,32.0,TOR,AL,1.4,97.0,404.0,354.0,49.0,88.0,20.0,0.0,11.0,36.0,4.0,1.0,44.0,90.0,0.249,0.337,0.398,0.735,94.0,0.327,90.0,141.0,10.0,4.0,0.0,2.0,3.0,5D/H,
Eric Hinske*,27.0,TOR,AL,1.1,147.0,537.0,477.0,79.0,125.0,31.0,2.0,15.0,68.0,8.0,4.0,46.0,121.0,0.262,0.333,0.43,0.763,100.0,0.338,99.0,205.0,8.0,8.0,0.0,6.0,4.0,3DH,
Frank Catalanotto*,31.0,TOR,AL,2.5,130.0,475.0,419.0,56.0,126.0,29.0,5.0,8.0,59.0,0.0,2.0,37.0,53.0,0.301,0.367,0.451,0.818,115.0,0.361,117.0,189.0,9.0,10.0,4.0,5.0,0.0,*7HD,
Frank Menechino,34.0,TOR,AL,0.9,70.0,180.0,148.0,22.0,32.0,7.0,0.0,4.0,13.0,0.0,1.0,25.0,33.0,0.216,0.352,0.345,0.697,86.0,0.345,106.0,51.0,3.0,6.0,1.0,0.0,0.0,4DH/56,
Gabe Gross*,25.0,TOR,AL,-0.1,40.0,102.0,92.0,11.0,23.0,4.0,1.0,1.0,7.0,1.0,1.0,10.0,21.0,0.25,0.324,0.348,0.671,78.0,0.299,74.0,32.0,0.0,0.0,0.0,0.0,0.0,97/HD,
Greg Myers*,39.0,TOR,AL,-0.2,6.0,13.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.083,0.154,0.083,0.237,-34.0,0.124,-53.0,1.0,2.0,0.0,0.0,0.0,0.0,/2H,
Gregg Zaun#,34.0,TOR,AL,3.6,133.0,512.0,434.0,61.0,109.0,18.0,1.0,11.0,61.0,2.0,3.0,73.0,70.0,0.251,0.355,0.373,0.729,94.0,0.334,98.0,162.0,11.0,0.0,0.0,5.0,2.0,*2H,
Guillermo Quiroz,23.0,TOR,AL,-0.2,12.0,39.0,36.0,3.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,13.0,0.194,0.256,0.25,0.506,35.0,0.233,24.0,9.0,0.0,1.0,0.0,0.0,0.0,2/D,
Gustavo Chacín*,24.0,TOR,AL,-0.1,3.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-100.0,0.0,-174.0,0.0,0.0,0.0,1.0,0.0,0.0,1,ROY-5
Jason Frasor,27.0,TOR,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
