Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Allan Simpson,28.0,MIL,NL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Ben Hendrickson,25.0,MIL,NL,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.25,0.0,0.25,-27.0,0.178,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Ben Sheets,27.0,MIL,NL,-0.4,17.0,37.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.03,0.059,0.03,0.089,-76.0,0.045,-133.0,1.0,0.0,0.0,3.0,0.0,0.0,1,
Bill Hall,26.0,MIL,NL,5.8,148.0,608.0,537.0,101.0,145.0,39.0,4.0,35.0,85.0,8.0,9.0,63.0,162.0,0.27,0.345,0.553,0.899,125.0,0.38,126.0,297.0,12.0,1.0,3.0,4.0,6.0,*65/8H4,
Brady Clark,33.0,MIL,NL,0.5,138.0,483.0,415.0,51.0,109.0,14.0,2.0,4.0,29.0,3.0,4.0,43.0,60.0,0.263,0.348,0.335,0.683,76.0,0.316,79.0,139.0,9.0,14.0,5.0,5.0,4.0,*8H/97,
Brian Shouse*,37.0,MIL,NL,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Carlos Lee,30.0,MIL,NL,2.2,102.0,435.0,388.0,60.0,111.0,18.0,0.0,28.0,81.0,12.0,2.0,38.0,39.0,0.286,0.347,0.549,0.896,124.0,0.389,127.0,213.0,13.0,2.0,0.0,7.0,4.0,7/DH,
Carlos Villanueva,22.0,MIL,NL,-0.2,8.0,17.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.067,0.067,0.067,0.133,-66.0,0.06,-130.0,1.0,0.0,0.0,2.0,0.0,0.0,1,
Chad Moeller,31.0,MIL,NL,-0.5,29.0,104.0,98.0,9.0,18.0,3.0,0.0,2.0,5.0,0.0,0.0,4.0,26.0,0.184,0.231,0.276,0.506,29.0,0.236,21.0,27.0,3.0,2.0,0.0,0.0,0.0,2,
Chris Barnwell,27.0,MIL,NL,-0.5,13.0,31.0,30.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.067,0.097,0.067,0.163,-57.0,0.115,-69.0,2.0,0.0,0.0,0.0,0.0,0.0,/645H,
