Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Alfonso Soriano,30.0,WSN,NL,6.1,159.0,728.0,647.0,119.0,179.0,41.0,2.0,46.0,95.0,41.0,17.0,67.0,160.0,0.277,0.351,0.56,0.911,135.0,0.385,134.0,362.0,3.0,9.0,2.0,3.0,16.0,*7/H,"AS,MVP-6,SS"
Austin Kearns,26.0,WSN,NL,1.8,63.0,261.0,212.0,33.0,53.0,12.0,1.0,8.0,36.0,2.0,3.0,41.0,50.0,0.25,0.381,0.429,0.81,114.0,0.36,119.0,91.0,4.0,5.0,1.0,2.0,2.0,9/8H,
Beltrán Pérez,24.0,WSN,NL,0.2,9.0,7.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.571,0.5,1.071,187.0,0.477,199.0,3.0,0.0,0.0,0.0,0.0,0.0,/1H,
Bernie Castro#,26.0,WSN,NL,-0.5,42.0,120.0,110.0,18.0,25.0,1.0,3.0,0.0,10.0,7.0,2.0,9.0,18.0,0.227,0.286,0.291,0.577,53.0,0.261,42.0,32.0,2.0,0.0,1.0,0.0,0.0,4H/7,
Bill Bray*,23.0,WSN,NL,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-142.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Billy Traber*,26.0,WSN,NL,-0.1,15.0,16.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.077,0.143,0.077,0.22,-39.0,0.115,-78.0,1.0,0.0,0.0,2.0,0.0,0.0,1,
Brandon Harper,30.0,WSN,NL,0.2,18.0,47.0,41.0,6.0,12.0,3.0,0.0,2.0,6.0,0.0,0.0,4.0,4.0,0.293,0.362,0.512,0.874,127.0,0.372,125.0,21.0,1.0,1.0,0.0,1.0,0.0,2/H,
Brandon Watson*,24.0,WSN,NL,-0.6,9.0,29.0,28.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.179,0.207,0.179,0.385,3.0,0.139,-15.0,5.0,0.0,0.0,0.0,0.0,0.0,/8H,
Brendan Harris,25.0,WSN,NL,0.0,17.0,36.0,32.0,3.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.25,0.333,0.313,0.646,72.0,0.297,72.0,10.0,1.0,1.0,0.0,0.0,0.0,/H645,
Brett Campbell,24.0,WSN,NL,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Brian Schneider*,29.0,WSN,NL,0.4,124.0,455.0,410.0,30.0,105.0,18.0,0.0,4.0,55.0,2.0,2.0,38.0,67.0,0.256,0.32,0.329,0.649,72.0,0.297,72.0,135.0,14.0,2.0,2.0,3.0,10.0,*2/H3,
Chad Cordero,24.0,WSN,NL,0.0,65.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-142.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Chris Booker,29.0,WSN,NL,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Chris Schroder,27.0,WSN,NL,0.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-142.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Damian Jackson,32.0,WSN,NL,-0.4,67.0,135.0,116.0,16.0,23.0,6.0,1.0,4.0,10.0,1.0,3.0,12.0,39.0,0.198,0.295,0.371,0.666,74.0,0.293,75.0,43.0,1.0,4.0,3.0,0.0,0.0,8H64/579,
Daryle Ward*,31.0,WSN,NL,0.6,78.0,123.0,104.0,15.0,32.0,9.0,0.0,6.0,19.0,0.0,1.0,14.0,21.0,0.308,0.39,0.567,0.958,148.0,0.405,152.0,59.0,5.0,2.0,0.0,3.0,1.0,H9/3D7,
Felipe López#,26.0,WSN,NL,0.3,71.0,320.0,274.0,43.0,77.0,13.0,2.0,2.0,22.0,21.0,6.0,34.0,60.0,0.281,0.362,0.365,0.727,93.0,0.339,97.0,100.0,3.0,2.0,8.0,2.0,0.0,6/H,
Félix Rodríguez,33.0,WSN,NL,0.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-142.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Gary Majewski,26.0,WSN,NL,-0.1,41.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-214.0,0.0,0.0,0.0,1.0,0.0,0.0,1,
George Lombard*,30.0,WSN,NL,0.2,20.0,26.0,21.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,10.0,0.143,0.308,0.286,0.593,58.0,0.3,61.0,6.0,0.0,0.0,0.0,0.0,0.0,H/97,
Henry Mateo#,29.0,WSN,NL,-0.1,22.0,29.0,26.0,5.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.154,0.214,0.346,0.56,44.0,0.307,78.0,9.0,1.0,0.0,1.0,0.0,0.0,H/658,
Jason Bergmann,24.0,WSN,NL,-0.1,26.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.111,0.0,0.111,-67.0,0.079,-122.0,0.0,0.0,0.0,2.0,0.0,0.0,1,
Joey Eischen*,36.0,WSN,NL,0.0,22.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-100.0,0.0,-263.0,0.0,0.0,0.0,1.0,0.0,0.0,1/H,
John Patterson,28.0,WSN,NL,0.1,6.0,10.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.5,33.0,0.328,92.0,2.0,0.0,0.0,2.0,0.0,0.0,/1,
Jon Rauch,27.0,WSN,NL,-0.1,81.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-100.0,0.0,-137.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
José Guillén,30.0,WSN,NL,-0.9,69.0,268.0,241.0,28.0,52.0,15.0,1.0,9.0,40.0,1.0,0.0,15.0,48.0,0.216,0.276,0.398,0.674,75.0,0.285,62.0,96.0,8.0,7.0,0.0,5.0,4.0,9/H,
