Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Andrew Miller*,22.0,DET,AL,-0.1,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-100.0,0.0,-141.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Bobby Seay*,29.0,DET,AL,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-142.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Brandon Inge,30.0,DET,AL,2.2,151.0,577.0,508.0,64.0,120.0,25.0,2.0,14.0,71.0,9.0,2.0,47.0,150.0,0.236,0.312,0.376,0.688,79.0,0.312,74.0,191.0,8.0,11.0,7.0,4.0,5.0,*5/H,
Brent Clevlen,23.0,DET,AL,-0.2,13.0,10.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.1,0.1,0.1,0.2,-47.0,0.092,-79.0,1.0,1.0,0.0,0.0,0.0,0.0,/79H8D,
Cameron Maybin,20.0,DET,AL,-0.4,24.0,53.0,49.0,8.0,7.0,3.0,0.0,1.0,2.0,5.0,0.0,3.0,21.0,0.143,0.208,0.265,0.473,23.0,0.236,7.0,13.0,0.0,1.0,0.0,0.0,0.0,H7/8D,
Carlos Guillén#,31.0,DET,AL,3.1,151.0,630.0,564.0,86.0,167.0,35.0,9.0,21.0,102.0,13.0,8.0,55.0,93.0,0.296,0.357,0.502,0.859,122.0,0.369,118.0,283.0,14.0,3.0,0.0,8.0,10.0,*63/HD,AS
Chad Durbin,29.0,DET,AL,-0.1,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-141.0,0.0,0.0,0.0,0.0,1.0,0.0,1,
Craig Monroe,30.0,DET,AL,-1.2,99.0,372.0,343.0,47.0,76.0,19.0,0.0,11.0,55.0,0.0,3.0,20.0,94.0,0.222,0.264,0.373,0.637,65.0,0.279,56.0,128.0,10.0,2.0,1.0,6.0,0.0,7/H9D,
Curtis Granderson*,26.0,DET,AL,7.6,158.0,676.0,612.0,122.0,185.0,38.0,23.0,23.0,74.0,26.0,1.0,52.0,141.0,0.302,0.361,0.552,0.913,135.0,0.404,136.0,338.0,3.0,5.0,5.0,2.0,3.0,*8/H7,MVP-10
Fernando Rodney,30.0,DET,AL,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
