Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Akinori Iwamura*,30.0,TBR,AL,1.3,69.0,260.0,231.0,28.0,67.0,16.0,2.0,1.0,22.0,9.0,1.0,24.0,44.0,0.29,0.355,0.39,0.745,98.0,0.343,99.0,90.0,1.0,1.0,1.0,3.0,0.0,4/H5,
Andy Sonnanstine*,26.0,TBR,AL,0.2,6.0,12.0,11.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.273,0.333,0.364,0.697,85.0,0.315,83.0,4.0,0.0,0.0,0.0,0.0,0.0,1/H,
B.J. Upton,24.0,TBR,AL,1.1,144.0,626.0,560.0,79.0,135.0,33.0,4.0,11.0,55.0,42.0,14.0,57.0,152.0,0.241,0.313,0.373,0.686,82.0,0.317,82.0,209.0,7.0,3.0,3.0,3.0,0.0,*8/H,
Ben Zobrist#,28.0,TBR,AL,8.6,152.0,599.0,501.0,91.0,149.0,28.0,7.0,27.0,91.0,17.0,6.0,91.0,104.0,0.297,0.405,0.543,0.948,149.0,0.412,152.0,272.0,7.0,2.0,1.0,4.0,4.0,49H6/7835D,"AS,MVP-8"
Brian Shouse*,40.0,TBR,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Carl Crawford*,27.0,TBR,AL,5.0,156.0,672.0,606.0,96.0,185.0,28.0,8.0,15.0,68.0,60.0,16.0,51.0,99.0,0.305,0.364,0.452,0.816,116.0,0.37,117.0,274.0,7.0,8.0,2.0,5.0,1.0,*7/HD,AS
Carlos Peña*,31.0,TBR,AL,3.1,135.0,570.0,471.0,91.0,107.0,25.0,2.0,39.0,100.0,3.0,3.0,87.0,163.0,0.227,0.356,0.537,0.893,133.0,0.378,130.0,253.0,5.0,9.0,0.0,3.0,11.0,*3/H,AS
Chris Richard*,35.0,TBR,AL,-0.5,13.0,23.0,19.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.105,0.261,0.105,0.366,3.0,0.203,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3,
Dale Thayer,28.0,TBR,AL,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-142.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Dan Wheeler,31.0,TBR,AL,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
David Price*,23.0,TBR,AL,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.667,78.0,0.272,53.0,1.0,0.0,0.0,0.0,0.0,0.0,1,
Dioner Navarro#,25.0,TBR,AL,-0.4,115.0,410.0,376.0,38.0,82.0,15.0,0.0,8.0,32.0,5.0,2.0,18.0,51.0,0.218,0.261,0.322,0.583,54.0,0.272,51.0,121.0,14.0,5.0,8.0,3.0,1.0,*2/H,
Evan Longoria,23.0,TBR,AL,7.0,157.0,671.0,584.0,100.0,164.0,44.0,0.0,33.0,113.0,9.0,0.0,72.0,140.0,0.281,0.364,0.526,0.889,133.0,0.386,132.0,307.0,27.0,8.0,0.0,7.0,11.0,*5/DH,"AS,MVP-19,GG,SS"
Fernando Perez#,26.0,TBR,AL,-0.3,18.0,35.0,34.0,4.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,11.0,0.206,0.206,0.206,0.412,10.0,0.146,-19.0,7.0,0.0,0.0,1.0,0.0,0.0,/87HD9,
Gabe Gross*,29.0,TBR,AL,0.8,115.0,326.0,282.0,31.0,64.0,16.0,1.0,6.0,36.0,6.0,3.0,42.0,79.0,0.227,0.326,0.355,0.681,81.0,0.309,79.0,100.0,2.0,0.0,1.0,1.0,1.0,9H/D,
Gabe Kapler,33.0,TBR,AL,0.5,99.0,238.0,205.0,26.0,49.0,15.0,1.0,8.0,32.0,5.0,2.0,29.0,39.0,0.239,0.329,0.439,0.768,102.0,0.338,99.0,90.0,9.0,0.0,1.0,3.0,1.0,9H78/D,
Grant Balfour,31.0,TBR,AL,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Gregg Zaun#,38.0,TBR,AL,0.3,34.0,99.0,94.0,11.0,27.0,7.0,0.0,4.0,14.0,0.0,2.0,4.0,18.0,0.287,0.323,0.489,0.813,112.0,0.34,108.0,46.0,2.0,1.0,0.0,0.0,0.0,2/H,
J.P. Howell*,26.0,TBR,AL,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
James Shields,27.0,TBR,AL,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.2,0.0,0.2,-40.0,0.143,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Jason Bartlett,29.0,TBR,AL,6.2,137.0,567.0,500.0,90.0,160.0,29.0,7.0,14.0,66.0,30.0,7.0,54.0,89.0,0.32,0.389,0.49,0.879,132.0,0.396,137.0,245.0,5.0,5.0,4.0,4.0,2.0,*6/D,AS
