Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Adrián González*,29.0,BOS,AL,6.9,159.0,715.0,630.0,108.0,213.0,45.0,3.0,27.0,117.0,1.0,0.0,74.0,119.0,0.338,0.41,0.548,0.957,155.0,0.413,158.0,345.0,28.0,6.0,0.0,5.0,20.0,*3/9D,"AS,MVP-7,GG,SS"
Alfredo Aceves,28.0,BOS,AL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Andrew Miller*,26.0,BOS,AL,-0.1,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-100.0,0.0,-144.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Bobby Jenks,30.0,BOS,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Carl Crawford*,29.0,BOS,AL,0.3,130.0,539.0,506.0,65.0,129.0,29.0,7.0,11.0,56.0,18.0,6.0,23.0,104.0,0.255,0.289,0.405,0.694,85.0,0.311,80.0,205.0,7.0,3.0,2.0,4.0,1.0,*7/DH,
Conor Jackson,29.0,BOS,AL,-0.4,12.0,22.0,19.0,2.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,3.0,0.158,0.227,0.316,0.543,45.0,0.238,30.0,6.0,1.0,0.0,0.0,1.0,0.0,/H3795D,
Dan Wheeler,33.0,BOS,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Daniel Bard,26.0,BOS,AL,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Darnell McDonald,32.0,BOS,AL,0.4,79.0,175.0,157.0,26.0,37.0,6.0,1.0,6.0,24.0,2.0,3.0,14.0,33.0,0.236,0.303,0.401,0.704,88.0,0.316,91.0,63.0,3.0,2.0,0.0,2.0,0.0,97H8/D1,
David Ortiz*,35.0,BOS,AL,4.0,146.0,605.0,525.0,84.0,162.0,40.0,1.0,29.0,96.0,1.0,1.0,78.0,83.0,0.309,0.398,0.554,0.953,154.0,0.408,155.0,291.0,24.0,1.0,0.0,1.0,12.0,*D/H3,"AS,SS"
Drew Sutton#,28.0,BOS,AL,0.2,31.0,60.0,54.0,11.0,17.0,7.0,0.0,0.0,7.0,0.0,0.0,3.0,13.0,0.315,0.362,0.444,0.807,116.0,0.369,125.0,24.0,0.0,1.0,2.0,0.0,0.0,H/54367D,
Dustin Pedroia,27.0,BOS,AL,8.0,159.0,731.0,635.0,102.0,195.0,37.0,3.0,21.0,91.0,26.0,8.0,86.0,85.0,0.307,0.387,0.474,0.861,131.0,0.382,132.0,301.0,12.0,1.0,2.0,7.0,6.0,*4/H,"MVP-9,GG"
Franklin Morales*,25.0,BOS,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
J.D. Drew*,35.0,BOS,AL,-0.9,81.0,286.0,248.0,23.0,55.0,6.0,1.0,4.0,22.0,0.0,1.0,33.0,58.0,0.222,0.315,0.302,0.617,68.0,0.285,65.0,75.0,2.0,2.0,0.0,3.0,4.0,9H,
Jacoby Ellsbury*,27.0,BOS,AL,8.3,158.0,732.0,660.0,119.0,212.0,46.0,5.0,32.0,105.0,39.0,15.0,52.0,98.0,0.321,0.376,0.552,0.928,146.0,0.408,152.0,364.0,8.0,9.0,3.0,5.0,1.0,*8/HD,"AS,MVP-2,GG,SS"
Jarrod Saltalamacchia#,26.0,BOS,AL,0.7,103.0,386.0,358.0,52.0,84.0,23.0,3.0,16.0,56.0,1.0,0.0,24.0,119.0,0.235,0.288,0.45,0.737,95.0,0.32,89.0,161.0,7.0,3.0,0.0,1.0,1.0,2/H,
Jason Varitek#,39.0,BOS,AL,0.8,68.0,250.0,222.0,32.0,49.0,10.0,1.0,11.0,36.0,0.0,0.0,21.0,67.0,0.221,0.3,0.423,0.723,92.0,0.324,92.0,94.0,3.0,4.0,3.0,0.0,0.0,2,
Jed Lowrie#,27.0,BOS,AL,0.6,88.0,341.0,309.0,40.0,78.0,14.0,4.0,6.0,36.0,1.0,1.0,23.0,60.0,0.252,0.303,0.382,0.685,83.0,0.307,80.0,118.0,6.0,2.0,1.0,6.0,2.0,65/H3D4,
Joey Gathright*,30.0,BOS,AL,0.1,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,1.0,,,,0.448,382.0,0.0,0.0,0.0,0.0,0.0,0.0,/7HD,
John Lackey,32.0,BOS,AL,0.1,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.333,0.333,0.667,1.0,161.0,0.418,162.0,2.0,0.0,0.0,0.0,0.0,0.0,1,
Jon Lester*,27.0,BOS,AL,-0.1,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-100.0,0.0,-140.0,0.0,0.0,0.0,0.0,0.0,0.0,1,AS
Jonathan Papelbon,30.0,BOS,AL,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Jose Iglesias,21.0,BOS,AL,0.0,10.0,6.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.333,0.333,0.333,0.667,81.0,0.285,65.0,2.0,0.0,0.0,0.0,0.0,0.0,/6H,
Josh Beckett,31.0,BOS,AL,-0.1,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-140.0,0.0,1.0,0.0,0.0,0.0,0.0,1,"AS,CYA-9"
Josh Reddick*,24.0,BOS,AL,1.9,87.0,278.0,254.0,41.0,71.0,18.0,3.0,7.0,28.0,1.0,2.0,19.0,50.0,0.28,0.327,0.457,0.784,109.0,0.344,109.0,116.0,1.0,1.0,0.0,4.0,1.0,97H/8D,
Kevin Youkilis,32.0,BOS,AL,3.8,120.0,517.0,431.0,68.0,111.0,32.0,2.0,17.0,80.0,3.0,0.0,68.0,100.0,0.258,0.373,0.459,0.833,123.0,0.376,129.0,198.0,14.0,14.0,0.0,4.0,3.0,*5/3D,AS
Lars Anderson*,23.0,BOS,AL,-0.1,6.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-100.0,0.0,-140.0,0.0,0.0,0.0,0.0,0.0,0.0,/3H,
Marco Scutaro,35.0,BOS,AL,2.5,113.0,445.0,395.0,59.0,118.0,26.0,1.0,7.0,54.0,4.0,2.0,38.0,36.0,0.299,0.358,0.423,0.781,110.0,0.344,107.0,167.0,12.0,1.0,7.0,4.0,1.0,*6/H4,
Matt Albers*,28.0,BOS,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Mike Aviles,30.0,BOS,AL,0.3,38.0,107.0,101.0,17.0,32.0,6.0,0.0,2.0,8.0,4.0,2.0,4.0,17.0,0.317,0.34,0.436,0.775,107.0,0.35,112.0,44.0,3.0,0.0,1.0,1.0,0.0,5/6H497,
Mike Cameron,38.0,BOS,AL,-1.0,33.0,105.0,94.0,9.0,14.0,2.0,0.0,3.0,9.0,0.0,0.0,8.0,25.0,0.149,0.212,0.266,0.477,28.0,0.223,18.0,25.0,3.0,0.0,1.0,2.0,0.0,9/H78D,
Nate Spears*,26.0,BOS,AL,-0.1,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-144.0,0.0,0.0,0.0,0.0,0.0,0.0,/H47,
Ryan Lavarnway,23.0,BOS,AL,0.5,17.0,43.0,39.0,5.0,9.0,2.0,0.0,2.0,8.0,0.0,0.0,4.0,10.0,0.231,0.302,0.436,0.738,96.0,0.363,121.0,17.0,1.0,0.0,0.0,0.0,0.0,/2DH,
Tim Wakefield,44.0,BOS,AL,-0.1,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-100.0,0.0,-144.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Tommy Hottovy*,29.0,BOS,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Yamaico Navarro,23.0,BOS,AL,0.0,16.0,40.0,37.0,6.0,8.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,9.0,0.216,0.275,0.351,0.626,68.0,0.279,60.0,13.0,0.0,0.0,0.0,0.0,0.0,5/67H,
