Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Aaron Crow,26.0,KCR,AL,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Adam Moore,29.0,KCR,AL,0.1,5.0,11.0,10.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.3,0.364,0.4,0.764,109.0,0.364,110.0,4.0,0.0,0.0,0.0,0.0,0.0,/2H,
Alcides Escobar,26.0,KCR,AL,0.4,158.0,642.0,607.0,57.0,142.0,20.0,4.0,4.0,52.0,22.0,0.0,19.0,84.0,0.234,0.259,0.3,0.559,53.0,0.262,44.0,182.0,12.0,3.0,9.0,4.0,1.0,*6/H,
Alex Gordon*,29.0,KCR,AL,4.1,156.0,700.0,633.0,90.0,168.0,27.0,6.0,20.0,81.0,11.0,3.0,52.0,141.0,0.265,0.327,0.422,0.749,103.0,0.334,103.0,267.0,4.0,9.0,0.0,6.0,7.0,*7/H,"AS,GG"
Billy Butler,27.0,KCR,AL,1.5,162.0,668.0,582.0,62.0,168.0,27.0,0.0,15.0,82.0,0.0,0.0,79.0,102.0,0.289,0.374,0.412,0.787,116.0,0.352,118.0,240.0,28.0,3.0,0.0,4.0,11.0,*D/3H,
Brett Hayes,29.0,KCR,AL,0.2,5.0,18.0,18.0,2.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.278,0.278,0.611,0.889,134.0,0.369,129.0,11.0,0.0,0.0,0.0,0.0,0.0,/2H,
Bruce Chen*,36.0,KCR,AL,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,176.0,0.452,191.0,1.0,0.0,0.0,0.0,0.0,0.0,1,
Carlos Peña*,35.0,KCR,AL,-0.1,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-100.0,0.0,-142.0,0.0,0.0,0.0,0.0,0.0,0.0,/3H,
Chris Getz*,29.0,KCR,AL,-0.2,78.0,237.0,209.0,29.0,46.0,6.0,1.0,1.0,18.0,16.0,3.0,20.0,24.0,0.22,0.288,0.273,0.561,55.0,0.264,42.0,57.0,9.0,0.0,8.0,0.0,3.0,4H/D,
David Lough*,27.0,KCR,AL,2.4,96.0,335.0,315.0,35.0,90.0,17.0,4.0,5.0,33.0,5.0,2.0,10.0,52.0,0.286,0.311,0.413,0.724,96.0,0.329,99.0,130.0,3.0,3.0,4.0,3.0,0.0,97H/8,ROY-8
Elliot Johnson#,29.0,KCR,AL,0.5,79.0,173.0,162.0,19.0,29.0,2.0,1.0,2.0,9.0,14.0,0.0,8.0,49.0,0.179,0.218,0.241,0.458,26.0,0.239,17.0,39.0,2.0,0.0,3.0,0.0,1.0,4H/6D597,
Emilio Bonifácio#,28.0,KCR,AL,1.1,42.0,179.0,158.0,21.0,45.0,6.0,2.0,0.0,11.0,16.0,2.0,17.0,37.0,0.285,0.352,0.348,0.7,93.0,0.328,87.0,55.0,1.0,0.0,3.0,1.0,0.0,4/58H,
Eric Hosmer*,23.0,KCR,AL,3.4,159.0,680.0,623.0,86.0,188.0,34.0,3.0,17.0,79.0,11.0,4.0,51.0,100.0,0.302,0.353,0.448,0.801,118.0,0.358,121.0,279.0,15.0,1.0,1.0,4.0,4.0,*3/H9D,GG
Ervin Santana,30.0,KCR,AL,0.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.25,0.25,0.5,38.0,0.201,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1,
George Kottaras*,30.0,KCR,AL,0.6,46.0,126.0,100.0,13.0,18.0,4.0,0.0,5.0,12.0,1.0,0.0,24.0,42.0,0.18,0.349,0.37,0.719,98.0,0.325,95.0,37.0,2.0,2.0,0.0,0.0,2.0,2H,
Greg Holland,27.0,KCR,AL,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,"AS,CYA-9,MVP-15"
Irving Falu#,30.0,KCR,AL,0.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,38.0,0.226,25.0,1.0,0.0,0.0,0.0,0.0,0.0,/5,
J.C. Gutiérrez,29.0,KCR,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
James Shields,31.0,KCR,AL,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,0.333,0.333,0.667,84.0,0.301,79.0,1.0,0.0,0.0,0.0,0.0,0.0,1,CYA-11
Jamey Carroll,39.0,KCR,AL,-0.4,14.0,43.0,36.0,5.0,4.0,3.0,0.0,0.0,2.0,0.0,1.0,4.0,4.0,0.111,0.19,0.194,0.385,6.0,0.185,0.0,7.0,1.0,0.0,1.0,2.0,0.0,5/H4,
Jarrod Dyson*,28.0,KCR,AL,1.6,87.0,239.0,213.0,30.0,55.0,9.0,4.0,2.0,17.0,34.0,6.0,21.0,45.0,0.258,0.326,0.366,0.692,90.0,0.328,82.0,78.0,4.0,1.0,3.0,1.0,1.0,8HD,
Jeff Francoeur,29.0,KCR,AL,-0.8,59.0,193.0,183.0,19.0,38.0,8.0,2.0,3.0,13.0,2.0,0.0,8.0,49.0,0.208,0.249,0.322,0.571,55.0,0.258,45.0,59.0,5.0,2.0,0.0,0.0,2.0,9/HD,
Jeremy Guthrie,34.0,KCR,AL,0.0,2.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.25,0.25,0.5,38.0,0.201,-18.0,1.0,0.0,0.0,0.0,0.0,0.0,1,
Johnny Giavotella,25.0,KCR,AL,0.1,14.0,48.0,41.0,4.0,9.0,3.0,0.0,0.0,4.0,0.0,0.0,5.0,4.0,0.22,0.333,0.293,0.626,74.0,0.305,82.0,12.0,0.0,2.0,0.0,0.0,0.0,4/DH,
Justin Maxwell,29.0,KCR,AL,0.5,35.0,111.0,97.0,14.0,26.0,6.0,1.0,5.0,17.0,2.0,1.0,11.0,35.0,0.268,0.351,0.505,0.857,131.0,0.377,136.0,49.0,3.0,2.0,0.0,1.0,0.0,9/H8D,
Kelvin Herrera,23.0,KCR,AL,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Lorenzo Cain,27.0,KCR,AL,3.1,115.0,442.0,399.0,54.0,100.0,21.0,3.0,4.0,46.0,14.0,6.0,33.0,90.0,0.251,0.31,0.348,0.658,80.0,0.297,75.0,139.0,10.0,4.0,0.0,6.0,2.0,*89/HD,
Louis Coleman,27.0,KCR,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Luis Mendoza,29.0,KCR,AL,0.1,3.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.4,0.4,0.4,0.8,121.0,0.361,124.0,2.0,0.0,0.0,0.0,0.0,0.0,1,
Luke Hochevar,29.0,KCR,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Miguel Tejada,39.0,KCR,AL,0.3,53.0,167.0,156.0,15.0,45.0,5.0,0.0,3.0,20.0,1.0,0.0,6.0,25.0,0.288,0.317,0.378,0.695,90.0,0.321,93.0,59.0,6.0,1.0,3.0,1.0,1.0,45H/3D,
Mike Moustakas*,24.0,KCR,AL,-0.6,136.0,514.0,472.0,42.0,110.0,26.0,0.0,12.0,42.0,2.0,4.0,32.0,83.0,0.233,0.287,0.364,0.651,77.0,0.286,71.0,172.0,13.0,5.0,1.0,4.0,1.0,*5/H,
Pedro Ciriaco,27.0,KCR,AL,0.0,5.0,11.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.182,0.182,0.273,0.455,22.0,0.302,64.0,3.0,0.0,0.0,0.0,0.0,0.0,/6HD,
Salvador Perez,23.0,KCR,AL,4.2,138.0,526.0,496.0,48.0,145.0,25.0,3.0,13.0,79.0,0.0,0.0,21.0,63.0,0.292,0.323,0.433,0.757,105.0,0.336,105.0,215.0,13.0,4.0,0.0,5.0,2.0,*2/H3,"AS,MVP-22,GG"
Tim Collins*,23.0,KCR,AL,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Wade Davis,27.0,KCR,AL,-0.1,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-100.0,0.0,-221.0,0.0,0.0,0.0,1.0,0.0,0.0,1,
