Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Adam Jones,30.0,BAL,AL,1.6,152.0,672.0,619.0,86.0,164.0,19.0,0.0,29.0,83.0,2.0,0.0,39.0,115.0,0.265,0.31,0.436,0.746,98.0,0.321,93.0,270.0,13.0,5.0,1.0,8.0,2.0,*8,
Brad Brach,30.0,BAL,AL,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,AS
Caleb Joseph,30.0,BAL,AL,-0.8,49.0,141.0,132.0,7.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,28.0,0.174,0.216,0.197,0.413,13.0,0.201,4.0,26.0,6.0,0.0,2.0,0.0,0.0,2/3,
Chris Davis*,30.0,BAL,AL,3.0,157.0,665.0,566.0,99.0,125.0,21.0,0.0,38.0,84.0,1.0,0.0,88.0,219.0,0.221,0.332,0.459,0.792,110.0,0.345,111.0,260.0,6.0,8.0,0.0,3.0,3.0,*3/9D,
Chris Tillman,28.0,BAL,AL,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-100.0,0.0,-261.0,0.0,0.0,0.0,1.0,0.0,0.0,1,
Dariel Álvarez,27.0,BAL,AL,0.1,2.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.5,0.667,1.167,210.0,0.705,374.0,2.0,0.0,0.0,0.0,0.0,0.0,/9H,
Donnie Hart*,25.0,BAL,AL,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-133.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Drew Stubbs,31.0,BAL,AL,-0.3,20.0,27.0,22.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,11.0,0.136,0.296,0.136,0.433,23.0,0.216,23.0,3.0,0.0,1.0,0.0,0.0,0.0,9/H78D,
Dylan Bundy#,23.0,BAL,AL,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-100.0,0.0,-137.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Francisco Peña,26.0,BAL,AL,-0.2,14.0,43.0,40.0,5.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,14.0,0.2,0.238,0.275,0.513,38.0,0.225,21.0,11.0,2.0,0.0,1.0,0.0,0.0,2/H,
Hyun Soo Kim*,28.0,BAL,AL,1.0,95.0,346.0,305.0,36.0,92.0,16.0,1.0,6.0,22.0,1.0,3.0,36.0,51.0,0.302,0.382,0.42,0.801,116.0,0.36,125.0,128.0,5.0,4.0,0.0,1.0,0.0,7H,
J.J. Hardy,33.0,BAL,AL,2.1,115.0,438.0,405.0,43.0,109.0,29.0,0.0,9.0,48.0,0.0,0.0,26.0,68.0,0.269,0.309,0.407,0.716,91.0,0.318,91.0,165.0,14.0,0.0,1.0,6.0,1.0,*6,
Jayson Aquino*,23.0,BAL,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Joey Rickard,25.0,BAL,AL,-0.3,85.0,282.0,257.0,32.0,69.0,13.0,0.0,5.0,19.0,4.0,1.0,18.0,54.0,0.268,0.319,0.377,0.696,87.0,0.313,86.0,97.0,3.0,2.0,3.0,2.0,0.0,978H,
Jonathan Schoop,24.0,BAL,AL,3.6,162.0,647.0,615.0,82.0,164.0,38.0,1.0,25.0,82.0,1.0,2.0,21.0,137.0,0.267,0.298,0.454,0.752,98.0,0.321,94.0,279.0,16.0,8.0,0.0,3.0,0.0,*4,
Julio Borbón*,30.0,BAL,AL,-0.3,6.0,15.0,13.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.308,0.308,0.308,0.615,67.0,0.222,41.0,4.0,0.0,0.0,2.0,0.0,0.0,/78,
Kevin Gausman*,25.0,BAL,AL,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.333,0.0,0.333,3.0,0.231,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Logan Ondrusek,31.0,BAL,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Manny Machado,23.0,BAL,AL,7.4,157.0,696.0,640.0,105.0,188.0,40.0,1.0,37.0,96.0,0.0,3.0,48.0,120.0,0.294,0.343,0.533,0.876,130.0,0.373,133.0,341.0,14.0,3.0,0.0,5.0,9.0,*56,"AS,MVP-5"
Mark Trumbo,30.0,BAL,AL,2.0,159.0,667.0,613.0,94.0,157.0,27.0,1.0,47.0,108.0,2.0,0.0,51.0,170.0,0.256,0.316,0.533,0.85,122.0,0.359,121.0,327.0,14.0,3.0,0.0,0.0,1.0,9D/37,"AS,SS"
Matt Wieters#,30.0,BAL,AL,2.0,124.0,464.0,423.0,48.0,103.0,17.0,1.0,17.0,66.0,1.0,0.0,32.0,85.0,0.243,0.302,0.409,0.711,89.0,0.314,88.0,173.0,10.0,5.0,1.0,3.0,1.0,*2/HD,AS
Michael Bourn*,33.0,BAL,AL,0.1,24.0,55.0,46.0,5.0,13.0,1.0,0.0,2.0,8.0,2.0,0.0,6.0,9.0,0.283,0.358,0.435,0.793,112.0,0.347,106.0,20.0,0.0,0.0,2.0,1.0,0.0,79/H8,
Mike Wright Jr.,26.0,BAL,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Mychal Givens,26.0,BAL,AL,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-143.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Nolan Reimold,32.0,BAL,AL,-0.3,104.0,227.0,203.0,25.0,45.0,9.0,1.0,6.0,15.0,1.0,2.0,22.0,62.0,0.222,0.3,0.365,0.664,78.0,0.3,80.0,74.0,8.0,1.0,0.0,1.0,0.0,79H/8D,
Odrisamer Despaigne,29.0,BAL,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Oliver Drake,29.0,BAL,AL,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-133.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Parker Bridwell,24.0,BAL,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Paul Janish,33.0,BAL,AL,0.0,14.0,35.0,31.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.194,0.286,0.226,0.512,41.0,0.24,34.0,7.0,0.0,1.0,0.0,0.0,0.0,/56H,
