Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Aaron Bummer*,23.0,CHW,AL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Adam Engel,25.0,CHW,AL,-0.7,97.0,336.0,301.0,34.0,50.0,11.0,3.0,6.0,21.0,8.0,1.0,19.0,117.0,0.166,0.235,0.282,0.517,40.0,0.251,42.0,85.0,1.0,8.0,8.0,0.0,0.0,8/H7,
Alen Hanson#,24.0,CHW,AL,-0.2,69.0,175.0,160.0,28.0,37.0,9.0,1.0,4.0,10.0,9.0,2.0,10.0,43.0,0.231,0.276,0.375,0.651,74.0,0.292,71.0,60.0,5.0,1.0,1.0,3.0,0.0,H948/7D5,
Anthony Swarzak,31.0,CHW,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Avisaíl García,26.0,CHW,AL,4.5,136.0,561.0,518.0,75.0,171.0,27.0,5.0,18.0,80.0,5.0,3.0,33.0,111.0,0.33,0.38,0.506,0.885,138.0,0.384,142.0,262.0,14.0,9.0,0.0,1.0,5.0,*9/DH,AS
Carlos Rodón*,24.0,CHW,AL,0.1,3.0,7.0,6.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.333,0.333,0.5,0.833,122.0,0.353,122.0,3.0,0.0,0.0,1.0,0.0,0.0,1,
Chris Beck,26.0,CHW,AL,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Cody Asche*,27.0,CHW,AL,-0.9,19.0,62.0,57.0,5.0,6.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,21.0,0.105,0.177,0.175,0.353,-3.0,0.156,-24.0,10.0,1.0,2.0,0.0,0.0,1.0,D/H357,
Dan Jennings*,30.0,CHW,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
David Holmberg,25.0,CHW,AL,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
David Robertson,32.0,CHW,AL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
