Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Adrián González*,36.0,NYM,NL,-0.2,54.0,187.0,169.0,15.0,40.0,5.0,0.0,6.0,26.0,0.0,0.0,15.0,34.0,0.237,0.299,0.373,0.672,88.0,0.291,80.0,63.0,5.0,1.0,0.0,2.0,3.0,3/H,
AJ Ramos,31.0,NYM,NL,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Amed Rosario,22.0,NYM,NL,1.1,154.0,592.0,554.0,76.0,142.0,26.0,8.0,9.0,51.0,24.0,11.0,29.0,119.0,0.256,0.295,0.381,0.676,88.0,0.301,87.0,211.0,9.0,3.0,3.0,3.0,4.0,*6/H,
Anthony Swarzak,32.0,NYM,NL,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Asdrúbal Cabrera#,32.0,NYM,NL,2.0,98.0,407.0,375.0,48.0,104.0,23.0,1.0,18.0,58.0,0.0,0.0,29.0,81.0,0.277,0.329,0.488,0.817,126.0,0.357,129.0,183.0,12.0,1.0,0.0,2.0,1.0,4/HD,
Austin Jackson,31.0,NYM,NL,-0.4,57.0,210.0,198.0,17.0,49.0,9.0,1.0,3.0,19.0,1.0,2.0,12.0,74.0,0.247,0.29,0.348,0.639,79.0,0.282,76.0,69.0,4.0,0.0,0.0,0.0,0.0,8/H,
Bobby Wahl,26.0,NYM,NL,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Brandon Nimmo*,25.0,NYM,NL,4.6,140.0,535.0,433.0,77.0,114.0,28.0,8.0,17.0,47.0,9.0,6.0,80.0,140.0,0.263,0.404,0.483,0.886,148.0,0.394,157.0,209.0,8.0,22.0,0.0,0.0,2.0,*987H,
Buddy Baumann*,30.0,NYM,NL,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-136.0,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Chris Beck,27.0,NYM,NL,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-136.0,0.0,0.0,0.0,0.0,0.0,0.0,/1,
