Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Aaron Altherr,27.0,PHI,NL,-0.9,105.0,285.0,243.0,28.0,44.0,11.0,1.0,8.0,38.0,3.0,2.0,36.0,91.0,0.181,0.295,0.333,0.628,69.0,0.285,66.0,81.0,13.0,4.0,0.0,2.0,0.0,9H8/7,
Aaron Loup*,30.0,PHI,NL,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Aaron Nola,25.0,PHI,NL,-0.5,32.0,70.0,62.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,36.0,0.048,0.063,0.065,0.128,-65.0,0.074,-111.0,4.0,3.0,0.0,7.0,0.0,0.0,1,"AS,CYA-3,MVP-13"
Adam Morgan*,28.0,PHI,NL,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Andrew Knapp#,26.0,PHI,NL,-0.5,84.0,215.0,187.0,19.0,37.0,6.0,2.0,4.0,15.0,1.0,0.0,24.0,75.0,0.198,0.294,0.316,0.61,64.0,0.285,64.0,59.0,2.0,2.0,1.0,1.0,1.0,2H/3,
Asdrúbal Cabrera#,32.0,PHI,NL,-0.7,49.0,185.0,171.0,20.0,39.0,13.0,0.0,5.0,17.0,0.0,0.0,12.0,38.0,0.228,0.286,0.392,0.678,80.0,0.297,74.0,67.0,4.0,2.0,0.0,0.0,0.0,65/HD4,
Austin Davis*,25.0,PHI,NL,0.0,31.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-100.0,0.0,-145.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Ben Lively,26.0,PHI,NL,0.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-100.0,0.129,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,/1H,
Carlos Santana#,32.0,PHI,NL,2.2,161.0,679.0,560.0,82.0,128.0,28.0,2.0,24.0,86.0,2.0,1.0,110.0,93.0,0.229,0.352,0.414,0.766,105.0,0.342,106.0,232.0,12.0,1.0,0.0,8.0,6.0,*35/H,
César Hernández#,28.0,PHI,NL,2.1,161.0,708.0,605.0,91.0,153.0,15.0,3.0,15.0,60.0,19.0,6.0,95.0,155.0,0.253,0.356,0.362,0.718,94.0,0.335,100.0,219.0,12.0,4.0,1.0,3.0,4.0,*4/HD,
Drew Anderson,24.0,PHI,NL,-0.1,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-227.0,0.0,0.0,0.0,1.0,0.0,0.0,/1,
Drew Hutchison*,27.0,PHI,NL,0.1,10.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.333,0.5,0.333,0.833,131.0,0.398,148.0,1.0,0.0,0.0,0.0,0.0,0.0,1,
Dylan Cozens*,24.0,PHI,NL,-0.2,26.0,44.0,38.0,2.0,6.0,2.0,0.0,1.0,2.0,1.0,0.0,6.0,24.0,0.158,0.273,0.289,0.562,52.0,0.265,46.0,11.0,0.0,0.0,0.0,0.0,0.0,H/79,
Edubray Ramos,25.0,PHI,NL,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
