Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Adam Plutko,28.0,CLE,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Austin Hedges,27.0,CLE,AL,-0.1,6.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.083,0.083,0.083,0.167,-54.0,0.075,-75.0,1.0,0.0,0.0,0.0,0.0,0.0,/2,
Beau Taylor*,30.0,CLE,AL,-0.2,7.0,24.0,21.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,9.0,0.048,0.13,0.048,0.178,-48.0,0.1,-65.0,1.0,0.0,0.0,1.0,0.0,0.0,/2,
Bradley Zimmer*,27.0,CLE,AL,0.1,20.0,50.0,37.0,3.0,6.0,0.0,0.0,1.0,3.0,2.0,1.0,7.0,14.0,0.162,0.36,0.243,0.603,71.0,0.295,80.0,9.0,2.0,5.0,0.0,1.0,0.0,/789H,
Carlos Santana#,34.0,CLE,AL,1.0,60.0,255.0,206.0,34.0,41.0,7.0,0.0,8.0,30.0,0.0,0.0,47.0,43.0,0.199,0.349,0.35,0.699,93.0,0.32,96.0,72.0,5.0,1.0,0.0,1.0,1.0,*3,
Christian Arroyo,25.0,CLE,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/5,
César Hernández#,30.0,CLE,AL,1.7,58.0,261.0,233.0,35.0,66.0,20.0,0.0,3.0,20.0,0.0,0.0,24.0,57.0,0.283,0.355,0.408,0.763,109.0,0.337,108.0,95.0,3.0,2.0,1.0,0.0,0.0,*4/H,GG
Daniel Johnson*,24.0,CLE,AL,-0.3,5.0,13.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.083,0.154,0.083,0.237,-32.0,0.075,-89.0,1.0,0.0,0.0,0.0,0.0,1.0,/97H,
Delino DeShields,27.0,CLE,AL,0.0,37.0,120.0,107.0,10.0,27.0,3.0,2.0,0.0,7.0,3.0,2.0,9.0,29.0,0.252,0.31,0.318,0.628,73.0,0.274,65.0,34.0,0.0,0.0,4.0,0.0,0.0,8/HD,
Domingo Santana,27.0,CLE,AL,-0.3,24.0,84.0,70.0,6.0,11.0,3.0,0.0,2.0,12.0,0.0,0.0,13.0,25.0,0.157,0.298,0.286,0.583,62.0,0.271,62.0,20.0,2.0,1.0,0.0,0.0,0.0,9/7H,
Francisco Lindor#,26.0,CLE,AL,1.3,60.0,266.0,236.0,30.0,61.0,13.0,0.0,8.0,27.0,6.0,2.0,24.0,41.0,0.258,0.335,0.415,0.75,104.0,0.329,101.0,98.0,8.0,4.0,0.0,2.0,2.0,*6/D,
Franmil Reyes,24.0,CLE,AL,0.4,59.0,241.0,211.0,27.0,58.0,10.0,0.0,9.0,34.0,0.0,0.0,24.0,69.0,0.275,0.344,0.45,0.795,116.0,0.344,113.0,95.0,6.0,1.0,0.0,5.0,0.0,*D/7H,
Greg Allen#,27.0,CLE,AL,0.0,15.0,28.0,25.0,3.0,4.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,9.0,0.16,0.214,0.32,0.534,44.0,0.238,33.0,8.0,0.0,1.0,0.0,1.0,0.0,7/8H,
Jordan Luplow,26.0,CLE,AL,-0.1,29.0,92.0,78.0,8.0,15.0,5.0,1.0,2.0,8.0,0.0,1.0,12.0,19.0,0.192,0.304,0.359,0.663,81.0,0.288,78.0,28.0,3.0,1.0,0.0,1.0,0.0,7/9H,
Josh Naylor*,23.0,CLE,AL,0.0,22.0,66.0,61.0,9.0,14.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,8.0,0.23,0.277,0.279,0.556,54.0,0.252,48.0,17.0,0.0,0.0,0.0,0.0,0.0,7/H3,
José Ramírez#,27.0,CLE,AL,2.5,58.0,254.0,219.0,45.0,64.0,16.0,1.0,17.0,46.0,10.0,3.0,31.0,43.0,0.292,0.386,0.607,0.993,167.0,0.426,168.0,133.0,2.0,3.0,0.0,1.0,0.0,*5/D,"MVP-2,SS"
Mike Freeman*,32.0,CLE,AL,-0.1,24.0,43.0,38.0,5.0,9.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,11.0,0.237,0.302,0.316,0.618,70.0,0.275,65.0,12.0,0.0,1.0,0.0,1.0,0.0,H/5476D3,
Roberto Pérez,31.0,CLE,AL,0.2,32.0,110.0,97.0,6.0,16.0,2.0,0.0,1.0,5.0,0.0,0.0,11.0,38.0,0.165,0.264,0.216,0.48,34.0,0.262,56.0,21.0,2.0,2.0,0.0,0.0,0.0,2,GG
Sandy León#,31.0,CLE,AL,-0.1,25.0,81.0,66.0,4.0,9.0,1.0,0.0,2.0,4.0,0.0,0.0,14.0,21.0,0.136,0.296,0.242,0.539,51.0,0.258,53.0,16.0,2.0,1.0,0.0,0.0,0.0,2/HD,
