Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Brian Anderson,27.0,MIA,NL,1.8,59.0,229.0,200.0,27.0,51.0,7.0,1.0,11.0,38.0,0.0,0.0,22.0,66.0,0.255,0.345,0.465,0.81,116.0,0.357,119.0,93.0,2.0,6.0,0.0,1.0,1.0,*5/34DH,
Brian Navarreto,25.0,MIA,NL,0.0,2.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.4,0.8,118.0,0.36,121.0,2.0,0.0,0.0,0.0,0.0,0.0,/2,
Chad Wallach,28.0,MIA,NL,0.2,15.0,48.0,44.0,4.0,10.0,3.0,0.0,1.0,6.0,0.0,0.0,3.0,12.0,0.227,0.277,0.364,0.64,71.0,0.296,76.0,16.0,1.0,0.0,1.0,0.0,0.0,2/H,
Corey Dickerson*,31.0,MIA,NL,0.2,52.0,210.0,194.0,25.0,50.0,5.0,1.0,7.0,17.0,1.0,1.0,15.0,35.0,0.258,0.311,0.402,0.713,91.0,0.321,95.0,78.0,5.0,0.0,0.0,0.0,1.0,*7/D9H,
Eddy Alvarez*,30.0,MIA,NL,0.0,12.0,41.0,37.0,6.0,7.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,16.0,0.189,0.268,0.216,0.485,34.0,0.258,42.0,8.0,0.0,1.0,0.0,0.0,0.0,/45H6,
Francisco Cervelli,34.0,MIA,NL,0.8,16.0,62.0,53.0,10.0,13.0,2.0,0.0,3.0,7.0,1.0,0.0,8.0,14.0,0.245,0.355,0.453,0.808,117.0,0.401,147.0,24.0,3.0,1.0,0.0,0.0,0.0,2,
Garrett Cooper,29.0,MIA,NL,0.6,34.0,133.0,120.0,20.0,34.0,8.0,0.0,6.0,20.0,0.0,0.0,11.0,31.0,0.283,0.353,0.5,0.853,127.0,0.373,130.0,60.0,5.0,2.0,0.0,0.0,0.0,D3/H,
Harold Ramírez,25.0,MIA,NL,-0.1,3.0,11.0,10.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.2,0.273,0.2,0.473,31.0,0.181,29.0,2.0,0.0,0.0,0.0,0.0,0.0,/97,
Isan Díaz*,24.0,MIA,NL,-0.3,7.0,22.0,22.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.182,0.182,0.182,0.364,-1.0,0.164,-15.0,4.0,0.0,0.0,0.0,0.0,0.0,/4,
Jazz Chisholm Jr.*,22.0,MIA,NL,-0.1,21.0,62.0,56.0,8.0,9.0,1.0,1.0,2.0,6.0,2.0,2.0,5.0,19.0,0.161,0.242,0.321,0.563,51.0,0.255,55.0,18.0,0.0,1.0,0.0,0.0,0.0,4/6H,
