Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Austin Nola,32.0,SDP,NL,1.9,110.0,397.0,347.0,40.0,87.0,15.0,0.0,4.0,40.0,2.0,1.0,34.0,60.0,0.251,0.321,0.329,0.649,90.0,0.302,95.0,114.0,5.0,6.0,1.0,9.0,1.0,2/DH45,
Brandon Dixon,30.0,SDP,NL,0.0,5.0,14.0,14.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.214,0.214,0.286,0.5,44.0,0.218,35.0,4.0,1.0,0.0,0.0,0.0,0.0,/D59H,
Brandon Drury,29.0,SDP,NL,0.5,46.0,183.0,168.0,25.0,40.0,9.0,0.0,8.0,28.0,0.0,1.0,9.0,42.0,0.238,0.29,0.435,0.724,107.0,0.314,106.0,73.0,2.0,4.0,0.0,2.0,0.0,3D/45H,
Brent Rooker,27.0,SDP,NL,-0.2,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-100.0,0.0,-122.0,0.0,0.0,0.0,0.0,0.0,0.0,/7,
CJ Abrams*,21.0,SDP,NL,0.1,46.0,139.0,125.0,16.0,29.0,5.0,0.0,2.0,11.0,1.0,2.0,4.0,27.0,0.232,0.285,0.32,0.605,76.0,0.268,74.0,40.0,4.0,6.0,2.0,2.0,0.0,64/H9D,
Eguy Rosario,22.0,SDP,NL,0.1,7.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.2,0.333,0.2,0.533,61.0,0.249,57.0,1.0,0.0,0.0,0.0,0.0,0.0,/H56D,
Eric Hosmer*,32.0,SDP,NL,1.0,90.0,369.0,335.0,32.0,91.0,16.0,0.0,8.0,40.0,0.0,0.0,33.0,55.0,0.272,0.336,0.391,0.727,111.0,0.328,114.0,131.0,10.0,0.0,0.0,1.0,5.0,3/D,
Esteury Ruiz,23.0,SDP,NL,-0.4,14.0,27.0,27.0,1.0,6.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,5.0,0.222,0.222,0.333,0.556,59.0,0.207,48.0,9.0,0.0,0.0,0.0,0.0,0.0,/978H,
Ha-Seong Kim,26.0,SDP,NL,5.0,150.0,582.0,517.0,58.0,130.0,29.0,3.0,11.0,59.0,12.0,2.0,51.0,100.0,0.251,0.325,0.383,0.708,105.0,0.322,107.0,198.0,9.0,7.0,3.0,4.0,0.0,*65/H,
Jake Cronenworth*,28.0,SDP,NL,3.9,158.0,684.0,587.0,88.0,140.0,30.0,4.0,17.0,88.0,3.0,0.0,70.0,131.0,0.239,0.332,0.39,0.722,109.0,0.326,112.0,229.0,2.0,16.0,0.0,8.0,3.0,*43/6HD,AS
Jorge Alfaro,29.0,SDP,NL,0.8,82.0,274.0,256.0,25.0,63.0,14.0,0.0,7.0,40.0,1.0,0.0,11.0,98.0,0.246,0.285,0.383,0.667,92.0,0.291,87.0,98.0,5.0,4.0,0.0,3.0,0.0,2DH,
Josh Bell#,29.0,SDP,NL,-0.5,53.0,210.0,177.0,26.0,34.0,5.0,0.0,3.0,14.0,0.0,0.0,32.0,41.0,0.192,0.316,0.271,0.587,73.0,0.289,86.0,48.0,3.0,0.0,0.0,0.0,0.0,D3/H,
José Azócar,26.0,SDP,NL,-0.1,98.0,216.0,202.0,24.0,52.0,9.0,3.0,0.0,10.0,5.0,6.0,12.0,44.0,0.257,0.298,0.332,0.629,83.0,0.273,81.0,67.0,6.0,0.0,1.0,1.0,0.0,98H7/D,
