Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Bennett Sousa*,30.0,HOU,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Brendan Rodgers,28.0,HOU,AL,0.0,43.0,128.0,115.0,12.0,22.0,4.0,0.0,2.0,11.0,0.0,1.0,11.0,46.0,0.191,0.266,0.278,0.544,52.0,0.263,63.0,32.0,2.0,1.0,0.0,1.0,0.0,4/HD,
Brice Matthews,23.0,HOU,AL,0.3,13.0,47.0,42.0,6.0,7.0,0.0,0.0,4.0,9.0,1.0,0.0,2.0,20.0,0.167,0.222,0.452,0.675,81.0,0.306,87.0,19.0,0.0,1.0,2.0,0.0,0.0,4/H5,
Bryan Abreu,28.0,HOU,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Cam Smith,22.0,HOU,AL,1.9,134.0,493.0,441.0,55.0,104.0,21.0,3.0,9.0,51.0,8.0,1.0,43.0,137.0,0.236,0.312,0.358,0.671,87.0,0.304,88.0,158.0,11.0,7.0,0.0,2.0,0.0,*9H/D,ROY-10
Carlos Correa,30.0,HOU,AL,1.3,51.0,220.0,200.0,23.0,58.0,10.0,0.0,6.0,21.0,0.0,0.0,19.0,45.0,0.29,0.355,0.43,0.785,117.0,0.349,123.0,86.0,7.0,1.0,0.0,0.0,0.0,5/6,
Chas McCormick,30.0,HOU,AL,-1.0,64.0,116.0,100.0,13.0,21.0,5.0,0.0,1.0,5.0,2.0,3.0,9.0,31.0,0.21,0.279,0.29,0.569,59.0,0.243,50.0,29.0,1.0,1.0,5.0,1.0,0.0,879H/D1,
Christian Walker,34.0,HOU,AL,0.2,154.0,640.0,585.0,72.0,139.0,24.0,1.0,27.0,88.0,2.0,1.0,40.0,177.0,0.238,0.297,0.421,0.717,97.0,0.312,96.0,246.0,10.0,11.0,0.0,4.0,1.0,*3/DH,
Cooper Hummel#,30.0,HOU,AL,-0.7,36.0,104.0,87.0,10.0,15.0,0.0,0.0,3.0,7.0,1.0,0.0,14.0,30.0,0.172,0.301,0.276,0.577,63.0,0.272,65.0,24.0,1.0,2.0,1.0,0.0,0.0,7H/D1,
César Salazar*,29.0,HOU,AL,-0.1,11.0,16.0,13.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.231,0.375,0.231,0.606,75.0,0.291,81.0,3.0,1.0,1.0,0.0,0.0,0.0,/2HD1,
Enyel De Los Santos,29.0,HOU,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Isaac Paredes,26.0,HOU,AL,2.3,102.0,438.0,378.0,53.0,96.0,15.0,1.0,20.0,53.0,0.0,1.0,50.0,76.0,0.254,0.352,0.458,0.809,123.0,0.353,127.0,173.0,10.0,8.0,0.0,2.0,0.0,5D/H,AS
Jacob Melton*,24.0,HOU,AL,-0.3,32.0,78.0,70.0,7.0,11.0,0.0,1.0,0.0,7.0,7.0,2.0,6.0,29.0,0.157,0.234,0.186,0.419,19.0,0.205,11.0,13.0,2.0,1.0,0.0,0.0,0.0,8/7H9,
Jake Meyers,29.0,HOU,AL,2.4,104.0,381.0,343.0,53.0,100.0,15.0,2.0,3.0,24.0,16.0,5.0,31.0,67.0,0.292,0.354,0.373,0.727,103.0,0.333,109.0,128.0,9.0,3.0,2.0,2.0,0.0,8/H,
Jeremy Peña,27.0,HOU,AL,5.6,125.0,543.0,493.0,68.0,150.0,30.0,2.0,17.0,62.0,20.0,2.0,35.0,93.0,0.304,0.363,0.477,0.84,132.0,0.368,132.0,235.0,9.0,12.0,1.0,2.0,2.0,*6/HD,"AS,MVP-10"
Jesús Sánchez*,27.0,HOU,AL,0.2,48.0,160.0,146.0,21.0,29.0,9.0,0.0,4.0,12.0,4.0,1.0,13.0,40.0,0.199,0.269,0.342,0.611,69.0,0.277,68.0,50.0,2.0,1.0,0.0,0.0,0.0,79/HD,
