Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Bryce Teodosio,26.0,LAA,AL,0.5,50.0,150.0,138.0,12.0,28.0,7.0,2.0,1.0,7.0,7.0,1.0,5.0,47.0,0.203,0.248,0.304,0.553,53.0,0.247,42.0,42.0,2.0,4.0,1.0,2.0,0.0,8,
Carter Kieboom,27.0,LAA,AL,-0.3,3.0,8.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.5,40.0,0.222,30.0,2.0,0.0,0.0,0.0,0.0,0.0,/3H,
Chad Stevens,26.0,LAA,AL,-0.2,5.0,14.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.154,0.154,0.154,0.308,-14.0,0.099,-41.0,2.0,0.0,0.0,1.0,0.0,0.0,/45,
Chad Wallach,33.0,LAA,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/2,
Chris Taylor,34.0,LAA,AL,0.0,30.0,90.0,78.0,11.0,14.0,5.0,0.0,2.0,10.0,2.0,1.0,5.0,29.0,0.179,0.278,0.321,0.598,66.0,0.267,64.0,25.0,0.0,6.0,0.0,1.0,0.0,9/4H875,
Christian Moore,22.0,LAA,AL,0.1,53.0,184.0,162.0,20.0,32.0,5.0,1.0,7.0,16.0,3.0,0.0,19.0,62.0,0.198,0.284,0.37,0.655,81.0,0.289,77.0,60.0,3.0,1.0,1.0,1.0,0.0,4/H,
Denzer Guzmán,21.0,LAA,AL,-0.4,13.0,43.0,42.0,4.0,8.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,22.0,0.19,0.209,0.357,0.566,54.0,0.24,43.0,15.0,0.0,0.0,0.0,0.0,0.0,6,
Gustavo Campero#,27.0,LAA,AL,-0.3,28.0,66.0,58.0,9.0,10.0,1.0,0.0,3.0,8.0,4.0,1.0,5.0,14.0,0.172,0.273,0.345,0.618,71.0,0.282,69.0,20.0,2.0,3.0,0.0,0.0,0.0,9/H78D,
J.D. Davis,32.0,LAA,AL,-0.2,5.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.111,0.111,0.111,0.222,-38.0,0.099,-59.0,1.0,0.0,0.0,0.0,0.0,0.0,/3H5,
Jo Adell,26.0,LAA,AL,1.2,152.0,573.0,526.0,63.0,124.0,18.0,1.0,37.0,98.0,5.0,1.0,33.0,151.0,0.236,0.293,0.485,0.778,111.0,0.335,112.0,255.0,10.0,10.0,0.0,1.0,0.0,*89/HD,
Jorge Soler,33.0,LAA,AL,-0.5,82.0,315.0,279.0,31.0,60.0,12.0,0.0,12.0,34.0,0.0,0.0,28.0,94.0,0.215,0.293,0.387,0.68,87.0,0.303,89.0,108.0,5.0,4.0,0.0,3.0,0.0,9D/H,
Kenley Jansen#,37.0,LAA,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Kevin Newman,31.0,LAA,AL,-0.9,56.0,116.0,114.0,13.0,23.0,2.0,0.0,2.0,11.0,1.0,0.0,1.0,23.0,0.202,0.209,0.272,0.481,33.0,0.233,37.0,31.0,5.0,0.0,1.0,0.0,0.0,56/4H13,
Kyren Paris,23.0,LAA,AL,0.7,44.0,140.0,126.0,20.0,24.0,4.0,1.0,6.0,11.0,7.0,1.0,10.0,59.0,0.19,0.266,0.381,0.647,77.0,0.302,83.0,48.0,1.0,3.0,0.0,0.0,0.0,84/H7D,
LaMonte Wade Jr.*,31.0,LAA,AL,-0.5,30.0,73.0,65.0,7.0,11.0,0.0,0.0,1.0,3.0,1.0,0.0,6.0,23.0,0.169,0.26,0.215,0.476,35.0,0.227,32.0,14.0,0.0,2.0,0.0,0.0,0.0,9/H37,
Logan Davidson#,27.0,LAA,AL,-0.3,10.0,23.0,22.0,2.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,0.182,0.182,0.364,0.545,46.0,0.22,26.0,8.0,0.0,0.0,1.0,0.0,0.0,/3H1,
Logan O'Hoppe,25.0,LAA,AL,-0.2,119.0,451.0,423.0,35.0,90.0,8.0,1.0,19.0,43.0,2.0,1.0,24.0,139.0,0.213,0.258,0.371,0.629,72.0,0.275,69.0,157.0,12.0,2.0,1.0,1.0,0.0,2H/D,
Luis Rengifo#,28.0,LAA,AL,0.4,147.0,541.0,501.0,55.0,119.0,16.0,3.0,9.0,43.0,10.0,7.0,33.0,104.0,0.238,0.287,0.335,0.622,73.0,0.276,72.0,168.0,7.0,3.0,1.0,3.0,0.0,54H/9768D,
Matthew Lugo,24.0,LAA,AL,-0.5,31.0,70.0,69.0,9.0,16.0,2.0,1.0,4.0,9.0,0.0,0.0,0.0,24.0,0.232,0.243,0.464,0.707,90.0,0.295,83.0,32.0,3.0,1.0,0.0,0.0,0.0,8H/97,
Mike Trout,33.0,LAA,AL,1.5,130.0,556.0,456.0,73.0,106.0,14.0,1.0,26.0,64.0,2.0,0.0,87.0,178.0,0.232,0.359,0.439,0.797,121.0,0.341,117.0,200.0,7.0,6.0,0.0,6.0,10.0,D9/H,
Nicky Lopez*,30.0,LAA,AL,-0.2,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-131.0,0.0,0.0,0.0,0.0,0.0,0.0,/5167,
Niko Kavadas*,26.0,LAA,AL,-0.4,10.0,23.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.1,0.217,0.1,0.317,-7.0,0.167,-10.0,2.0,0.0,0.0,0.0,0.0,0.0,3/1H,
Nolan Schanuel*,23.0,LAA,AL,1.3,132.0,564.0,488.0,64.0,129.0,23.0,1.0,12.0,53.0,5.0,1.0,59.0,71.0,0.264,0.353,0.389,0.742,107.0,0.329,108.0,190.0,10.0,10.0,3.0,4.0,4.0,*3,
Oswald Peraza,25.0,LAA,AL,-0.5,35.0,95.0,86.0,6.0,16.0,1.0,0.0,2.0,7.0,6.0,0.0,6.0,33.0,0.186,0.245,0.267,0.512,43.0,0.243,34.0,23.0,3.0,1.0,0.0,1.0,0.0,35H/61,
Scott Kingery,31.0,LAA,AL,-0.5,19.0,29.0,27.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,0.148,0.207,0.185,0.392,11.0,0.167,-3.0,5.0,1.0,0.0,0.0,0.0,0.0,/4H8619,
Sebastián Rivero,26.0,LAA,AL,0.0,11.0,34.0,33.0,4.0,6.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,9.0,0.182,0.206,0.242,0.448,24.0,0.252,47.0,8.0,0.0,0.0,0.0,0.0,0.0,2,
Taylor Ward,31.0,LAA,AL,2.7,157.0,663.0,579.0,86.0,132.0,31.0,2.0,36.0,103.0,4.0,1.0,75.0,175.0,0.228,0.317,0.475,0.792,116.0,0.342,117.0,275.0,13.0,3.0,0.0,6.0,1.0,*7/DH,
Tim Anderson,32.0,LAA,AL,0.0,31.0,90.0,83.0,8.0,17.0,3.0,0.0,0.0,3.0,1.0,1.0,3.0,29.0,0.205,0.258,0.241,0.499,41.0,0.223,33.0,20.0,1.0,3.0,1.0,0.0,0.0,46/H,
Travis d'Arnaud,36.0,LAA,AL,-0.3,69.0,231.0,213.0,16.0,42.0,13.0,0.0,6.0,21.0,0.0,0.0,13.0,74.0,0.197,0.255,0.343,0.598,65.0,0.26,58.0,73.0,5.0,4.0,0.0,1.0,0.0,2/HD,
Yoán Moncada#,30.0,LAA,AL,0.7,84.0,289.0,248.0,39.0,58.0,13.0,2.0,12.0,35.0,0.0,0.0,32.0,75.0,0.234,0.336,0.448,0.783,116.0,0.339,116.0,111.0,4.0,7.0,0.0,2.0,1.0,5H/D,
Zach Neto,24.0,LAA,AL,5.1,128.0,554.0,502.0,82.0,129.0,29.0,1.0,26.0,62.0,26.0,9.0,33.0,149.0,0.257,0.319,0.474,0.793,117.0,0.341,115.0,238.0,5.0,14.0,2.0,3.0,6.0,*6/H,
