Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Alec Burleson*,26.0,STL,NL,1.8,139.0,546.0,497.0,54.0,144.0,26.0,2.0,18.0,69.0,5.0,1.0,39.0,79.0,0.29,0.343,0.459,0.801,125.0,0.352,126.0,228.0,14.0,3.0,1.0,4.0,1.0,379D/H1,SS
Andre Pallante,26.0,STL,NL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Brendan Donovan*,28.0,STL,NL,2.7,118.0,515.0,460.0,64.0,132.0,32.0,0.0,10.0,50.0,3.0,3.0,42.0,67.0,0.287,0.353,0.422,0.775,119.0,0.338,118.0,194.0,4.0,7.0,2.0,4.0,3.0,47/6DH,AS
César Prieto*,26.0,STL,NL,-0.2,3.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.167,0.167,0.167,0.333,-5.0,0.134,-27.0,1.0,0.0,0.0,0.0,0.0,0.0,/4HD,
Garrett Hampson,30.0,STL,NL,-0.3,35.0,31.0,29.0,9.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,0.103,0.133,0.138,0.271,-23.0,0.133,-38.0,4.0,1.0,0.0,1.0,0.0,0.0,7H/986D145,
Iván Herrera,25.0,STL,NL,2.2,107.0,452.0,388.0,54.0,110.0,13.0,0.0,19.0,66.0,8.0,2.0,43.0,84.0,0.284,0.373,0.464,0.837,136.0,0.372,140.0,180.0,20.0,15.0,0.0,4.0,1.0,D2/7H,
Jimmy Crooks*,23.0,STL,NL,-0.3,15.0,46.0,45.0,3.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17.0,0.133,0.152,0.244,0.397,10.0,0.19,12.0,11.0,1.0,1.0,0.0,0.0,0.0,2/DH,
Jordan Walker,23.0,STL,NL,-1.7,111.0,396.0,363.0,40.0,78.0,13.0,1.0,6.0,41.0,10.0,3.0,29.0,126.0,0.215,0.278,0.306,0.584,66.0,0.273,69.0,111.0,9.0,3.0,0.0,1.0,1.0,9/HD,
Jose Barrero,27.0,STL,NL,-0.1,22.0,31.0,29.0,4.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,9.0,0.138,0.194,0.276,0.469,31.0,0.21,26.0,8.0,0.0,1.0,0.0,0.0,0.0,/H48695,
José Fermín,26.0,STL,NL,0.8,30.0,70.0,60.0,5.0,17.0,5.0,0.0,1.0,9.0,2.0,2.0,8.0,10.0,0.283,0.377,0.417,0.793,125.0,0.358,137.0,25.0,0.0,1.0,1.0,0.0,0.0,4/H579D,
Lars Nootbaar*,27.0,STL,NL,1.3,135.0,583.0,509.0,68.0,119.0,24.0,1.0,13.0,48.0,4.0,5.0,64.0,119.0,0.234,0.325,0.361,0.686,95.0,0.303,94.0,184.0,4.0,6.0,1.0,3.0,3.0,*798/HD,
Luken Baker,28.0,STL,NL,-0.1,19.0,41.0,34.0,3.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,7.0,10.0,0.235,0.366,0.324,0.689,98.0,0.318,102.0,11.0,3.0,0.0,0.0,0.0,0.0,DH/3,
Masyn Winn,23.0,STL,NL,2.2,129.0,537.0,491.0,72.0,124.0,27.0,0.0,9.0,51.0,9.0,5.0,34.0,102.0,0.253,0.31,0.363,0.673,90.0,0.298,89.0,178.0,11.0,8.0,2.0,2.0,0.0,*6/H,GG
Michael Siani*,25.0,STL,NL,-0.1,19.0,19.0,17.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.235,0.316,0.235,0.551,60.0,0.263,63.0,4.0,0.0,0.0,0.0,0.0,0.0,8/H,
Nathan Church*,24.0,STL,NL,0.4,27.0,65.0,56.0,9.0,10.0,1.0,0.0,1.0,8.0,1.0,0.0,3.0,18.0,0.179,0.254,0.25,0.504,44.0,0.249,50.0,14.0,0.0,3.0,2.0,1.0,0.0,8/97H,
Nolan Arenado,34.0,STL,NL,1.3,107.0,436.0,401.0,48.0,95.0,18.0,1.0,12.0,52.0,3.0,0.0,28.0,49.0,0.237,0.289,0.377,0.666,87.0,0.297,86.0,151.0,10.0,3.0,0.0,4.0,4.0,5/DH,
