Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Andy Ibáñez,33.0,ATH,AL,0.0,5.0,10.0,9.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.222,0.3,0.222,0.522,52.0,0.257,56.0,2.0,0.0,0.0,0.0,0.0,0.0,/4H3,
Austin Wynns,35.0,ATH,AL,-0.1,3.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.333,-4.0,0.155,-13.0,1.0,0.0,0.0,0.0,0.0,0.0,/2,
Brent Rooker,31.0,ATH,AL,-0.1,9.0,39.0,34.0,4.0,6.0,0.0,0.0,2.0,7.0,0.0,0.0,4.0,15.0,0.176,0.256,0.353,0.609,73.0,0.276,69.0,12.0,2.0,0.0,0.0,1.0,0.0,/*D9,
Carlos Cortes*,29.0,ATH,AL,0.2,5.0,10.0,8.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.5,0.6,0.75,1.35,286.0,0.588,277.0,6.0,0.0,0.0,0.0,0.0,0.0,/97H,
Darell Hernaiz,24.0,ATH,AL,-0.2,5.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.125,0.125,0.125,0.25,-28.0,0.116,-38.0,1.0,0.0,0.0,0.0,0.0,0.0,/469H,
Denzel Clarke,26.0,ATH,AL,0.1,8.0,23.0,21.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,10.0,0.19,0.261,0.19,0.451,32.0,0.215,28.0,4.0,0.0,0.0,0.0,0.0,0.0,*/8H,
J.T. Ginn,27.0,ATH,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Jacob Wilson,24.0,ATH,AL,-0.2,9.0,38.0,38.0,2.0,9.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.237,0.237,0.316,0.553,57.0,0.268,63.0,12.0,2.0,0.0,0.0,0.0,0.0,/*6,
Jeff McNeil*,34.0,ATH,AL,-0.2,8.0,26.0,23.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,8.0,0.174,0.269,0.174,0.443,30.0,0.228,30.0,4.0,0.0,0.0,0.0,0.0,0.0,/49H3,
Lawrence Butler*,25.0,ATH,AL,0.0,8.0,26.0,25.0,4.0,5.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,7.0,0.2,0.231,0.36,0.591,67.0,0.265,61.0,9.0,1.0,0.0,0.0,0.0,0.0,*/98H,
Max Muncy,23.0,ATH,AL,0.0,9.0,36.0,35.0,8.0,11.0,3.0,0.0,2.0,5.0,1.0,0.0,1.0,12.0,0.314,0.333,0.571,0.905,155.0,0.4,147.0,20.0,1.0,0.0,0.0,0.0,0.0,/*5,
Nick Kurtz*,23.0,ATH,AL,0.0,8.0,36.0,27.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,9.0,14.0,0.148,0.361,0.185,0.546,61.0,0.292,80.0,5.0,0.0,0.0,0.0,0.0,0.0,/*3,
Shea Langeliers,28.0,ATH,AL,0.8,9.0,39.0,36.0,7.0,11.0,0.0,0.0,5.0,8.0,0.0,0.0,3.0,12.0,0.306,0.359,0.722,1.081,203.0,0.485,209.0,26.0,2.0,0.0,0.0,0.0,0.0,/*2D,
Tyler Soderstrom*,24.0,ATH,AL,-0.1,9.0,38.0,33.0,5.0,7.0,2.0,1.0,0.0,6.0,0.0,0.0,5.0,11.0,0.212,0.316,0.333,0.649,87.0,0.3,85.0,11.0,3.0,0.0,0.0,0.0,0.0,*/7,
