Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Austin Riley,29.0,ATL,NL,-0.1,10.0,38.0,34.0,2.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,9.0,0.176,0.263,0.206,0.469,39.0,0.224,33.0,7.0,0.0,0.0,0.0,0.0,0.0,*5/H,
Dominic Smith*,31.0,ATL,NL,0.3,8.0,23.0,21.0,6.0,7.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,4.0,0.333,0.391,0.619,1.01,189.0,0.441,192.0,13.0,0.0,0.0,0.0,0.0,0.0,/DH,
Drake Baldwin*,25.0,ATL,NL,0.5,10.0,45.0,40.0,10.0,12.0,1.0,0.0,4.0,12.0,0.0,0.0,4.0,3.0,0.3,0.378,0.625,1.003,186.0,0.43,184.0,25.0,2.0,1.0,0.0,0.0,0.0,/*2D,
Eli White,32.0,ATL,NL,0.0,6.0,12.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.091,0.167,0.091,0.258,-22.0,0.134,-33.0,1.0,0.0,0.0,0.0,0.0,0.0,/79H,
Jonah Heim#,31.0,ATL,NL,0.0,3.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.3,0.0,0.3,-4.0,0.209,22.0,0.0,0.0,0.0,0.0,0.0,0.0,/2,
Jorge Mateo,31.0,ATL,NL,0.3,4.0,8.0,7.0,5.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.429,0.5,1.0,1.5,325.0,0.655,326.0,7.0,0.0,0.0,0.0,0.0,0.0,/6HD,
Kyle Farmer,35.0,ATL,NL,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.333,0.5,0.833,139.0,0.303,91.0,1.0,0.0,0.0,0.0,1.0,0.0,/5HD,
Matt Olson*,32.0,ATL,NL,0.7,10.0,43.0,38.0,6.0,11.0,5.0,0.0,2.0,6.0,0.0,0.0,5.0,14.0,0.289,0.372,0.579,0.951,172.0,0.426,183.0,22.0,0.0,0.0,0.0,0.0,1.0,*3,
Mauricio Dubón,31.0,ATL,NL,0.6,9.0,35.0,33.0,5.0,11.0,2.0,0.0,1.0,6.0,0.0,1.0,2.0,6.0,0.333,0.371,0.485,0.856,147.0,0.361,144.0,16.0,0.0,0.0,0.0,0.0,0.0,/*657,
Michael Harris II*,25.0,ATL,NL,0.0,10.0,41.0,40.0,3.0,9.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,6.0,0.225,0.244,0.325,0.569,64.0,0.252,54.0,13.0,0.0,0.0,0.0,0.0,0.0,*8,
Mike Yastrzemski*,35.0,ATL,NL,0.2,9.0,34.0,30.0,3.0,7.0,2.0,1.0,0.0,3.0,0.0,0.0,4.0,8.0,0.233,0.324,0.367,0.69,101.0,0.309,95.0,11.0,1.0,0.0,0.0,0.0,0.0,*/7H9,
Ozzie Albies#,29.0,ATL,NL,0.5,10.0,43.0,40.0,6.0,12.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,5.0,0.3,0.349,0.45,0.799,131.0,0.342,128.0,18.0,1.0,0.0,0.0,0.0,0.0,*4,
Raisel Iglesias,36.0,ATL,NL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Robert Suarez,35.0,ATL,NL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Ronald Acuña Jr.,28.0,ATL,NL,-0.1,10.0,44.0,36.0,1.0,7.0,1.0,0.0,0.0,2.0,2.0,2.0,7.0,7.0,0.194,0.318,0.222,0.54,61.0,0.271,77.0,8.0,0.0,0.0,0.0,1.0,0.0,*/9D,
