Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Brendan Donovan*,29.0,SEA,AL,0.5,8.0,33.0,27.0,4.0,10.0,2.0,0.0,2.0,4.0,1.0,1.0,4.0,6.0,0.37,0.485,0.667,1.152,241.0,0.498,232.0,18.0,0.0,2.0,0.0,0.0,0.0,/*5,
Cal Raleigh#,29.0,SEA,AL,0.0,10.0,43.0,38.0,1.0,5.0,2.0,0.0,0.0,4.0,1.0,0.0,5.0,20.0,0.132,0.233,0.184,0.417,26.0,0.214,33.0,7.0,0.0,0.0,0.0,0.0,0.0,/*2DH,
Cole Young*,22.0,SEA,AL,0.8,10.0,39.0,36.0,7.0,10.0,2.0,1.0,2.0,8.0,0.0,0.0,2.0,12.0,0.278,0.333,0.556,0.889,161.0,0.391,155.0,20.0,0.0,1.0,0.0,0.0,0.0,*4,
Dominic Canzone*,28.0,SEA,AL,0.2,8.0,21.0,19.0,5.0,5.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,3.0,0.263,0.333,0.632,0.965,182.0,0.431,174.0,12.0,0.0,1.0,0.0,0.0,0.0,/*DH,
Gabe Speier*,31.0,SEA,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
J.P. Crawford*,31.0,SEA,AL,-0.1,3.0,13.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.1,0.308,0.2,0.508,55.0,0.223,71.0,2.0,1.0,0.0,0.0,0.0,0.0,/6,
Josh Naylor*,29.0,SEA,AL,-0.4,10.0,44.0,40.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,0.125,0.205,0.125,0.33,1.0,0.156,-5.0,5.0,2.0,0.0,0.0,0.0,1.0,*3,
Julio Rodríguez,25.0,SEA,AL,-0.1,10.0,44.0,39.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,13.0,0.154,0.25,0.154,0.404,23.0,0.203,36.0,6.0,0.0,0.0,0.0,0.0,1.0,*8,
Leo Rivas#,28.0,SEA,AL,0.0,10.0,36.0,31.0,2.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,13.0,0.161,0.278,0.226,0.504,52.0,0.248,59.0,7.0,1.0,0.0,0.0,0.0,0.0,/*65,
Luke Raley*,31.0,SEA,AL,0.2,8.0,30.0,28.0,4.0,6.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,12.0,0.214,0.267,0.571,0.838,144.0,0.363,137.0,16.0,0.0,1.0,0.0,0.0,0.0,*/9H,
Mitch Garver,35.0,SEA,AL,0.0,2.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.375,0.0,0.375,21.0,0.385,151.0,0.0,0.0,0.0,0.0,0.0,0.0,/2,
Randy Arozarena,31.0,SEA,AL,0.6,10.0,44.0,34.0,9.0,10.0,3.0,0.0,0.0,3.0,2.0,0.0,8.0,4.0,0.294,0.455,0.382,0.837,152.0,0.407,158.0,13.0,0.0,2.0,0.0,0.0,0.0,*7,
Rob Refsnyder,35.0,SEA,AL,-0.2,5.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.143,0.0,0.143,-54.0,0.102,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,/DH,
Ryan Bliss,26.0,SEA,AL,-0.1,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-100.0,0.0,-104.0,0.0,0.0,0.0,0.0,0.0,0.0,/DH,
Víctor Robles,29.0,SEA,AL,0.0,4.0,13.0,13.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.231,0.231,0.308,0.538,60.0,0.254,50.0,4.0,0.0,0.0,0.0,0.0,0.0,/9,
