Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Casey Schmitt,27.0,SFG,NL,-0.1,7.0,25.0,22.0,0.0,6.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,0.273,0.36,0.318,0.678,101.0,0.329,105.0,7.0,0.0,2.0,0.0,0.0,0.0,/*3,
Christian Koss,28.0,SFG,NL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/14,
Daniel Susac,25.0,SFG,NL,0.3,3.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,491.0,0.856,498.0,3.0,0.0,0.0,0.0,0.0,0.0,/2,
Harrison Bader,32.0,SFG,NL,-0.1,10.0,37.0,34.0,3.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,12.0,0.118,0.162,0.235,0.397,15.0,0.178,2.0,8.0,2.0,0.0,0.0,1.0,0.0,*8,
Heliot Ramos,26.0,SFG,NL,-0.1,10.0,41.0,39.0,3.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,14.0,0.205,0.244,0.231,0.475,41.0,0.218,31.0,9.0,0.0,0.0,0.0,0.0,0.0,*7,
Jared Oliva,30.0,SFG,NL,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/H8,
Jerar Encarnacion,28.0,SFG,NL,0.0,4.0,10.0,10.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3,0.3,0.4,0.7,104.0,0.309,98.0,4.0,0.0,0.0,0.0,0.0,0.0,/3DH,
Jung Hoo Lee*,27.0,SFG,NL,-0.1,10.0,39.0,33.0,3.0,5.0,3.0,0.0,0.0,4.0,0.0,0.0,5.0,8.0,0.152,0.256,0.242,0.499,48.0,0.257,60.0,8.0,0.0,0.0,0.0,1.0,0.0,*9,
Luis Arraez*,29.0,SFG,NL,0.1,10.0,42.0,40.0,3.0,11.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,3.0,0.275,0.286,0.35,0.636,86.0,0.288,74.0,14.0,0.0,0.0,0.0,1.0,0.0,*4,
Matt Chapman,33.0,SFG,NL,0.2,10.0,42.0,38.0,5.0,9.0,2.0,0.0,1.0,4.0,0.0,1.0,4.0,7.0,0.237,0.31,0.368,0.678,98.0,0.29,93.0,14.0,1.0,0.0,0.0,0.0,0.0,*5,
Patrick Bailey#,27.0,SFG,NL,-0.3,9.0,30.0,27.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,6.0,0.111,0.2,0.111,0.311,-6.0,0.166,-13.0,3.0,2.0,0.0,0.0,0.0,0.0,/*2,
Rafael Devers*,29.0,SFG,NL,-0.2,10.0,42.0,38.0,2.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,12.0,0.211,0.286,0.316,0.602,77.0,0.264,64.0,12.0,2.0,0.0,0.0,0.0,1.0,/*D3,
Willy Adames,30.0,SFG,NL,0.1,10.0,41.0,38.0,2.0,7.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,13.0,0.184,0.244,0.316,0.56,63.0,0.273,71.0,12.0,1.0,0.0,0.0,0.0,0.0,*6,
