Name,Team,P,G,A
Adama Diomandé,LAFC,27.0,10.0,7.0
Albert Rusnák,Real Salt Lake,31.0,10.0,0.0
Alberth Elis,Houston Dynamo FC,26.0,9.0,10.0
Alejandro Pozuelo,Toronto FC,34.0,14.0,15.0
Aleksandar Katai,Chicago Fire FC,0.0,0.0,7.0
Alexandru Mitrita,New York City FC,30.0,12.0,0.0
Anton Tinnerholm,New York City FC,0.0,0.0,8.0
Brad Smith,Seattle Sounders FC,0.0,0.0,7.0
Brian Fernandez,Portland Timbers,19.0,11.0,0.0
Brian White,Red Bull New York,20.0,9.0,0.0
C.J. Sapong,Chicago Fire FC,32.0,13.0,0.0
Carles Gil,New England Revolution,35.0,10.0,14.0
Carlos Vela,LAFC,33.0,36.0,16.0
Chris Wondolowski,San Jose Earthquakes,32.0,15.0,0.0
Christian Ramírez,Houston Dynamo FC,27.0,9.0,0.0
Cristian Espinoza,San Jose Earthquakes,0.0,0.0,13.0
Cristian Pavón,LA Galaxy,0.0,0.0,8.0
Cristian Penilla,New England Revolution,0.0,0.0,8.0
Cristian Roldan,Seattle Sounders FC,0.0,0.0,6.0
Daniel Royer,Red Bull New York,32.0,11.0,9.0
Darwin Quintero,Minnesota United FC,31.0,10.0,0.0
Diego Rossi,LAFC,36.0,17.0,9.0
Diego Rubio,Colorado Rapids,26.0,11.0,0.0
Diego Valeri,Portland Timbers,32.0,8.0,16.0
Eduard Atuesta,LAFC,0.0,0.0,11.0
Felipe Gutiérrez,Sporting Kansas City,32.0,12.0,0.0
Fredy Montero,Vancouver Whitecaps,32.0,8.0,0.0
Gonzalo Martínez,Atlanta United FC,0.0,0.0,11.0
Gustavo Bou,New England Revolution,15.0,9.0,0.0
Gyasi Zardes,Columbus Crew,28.0,13.0,0.0
Haris Medunjanin,Philadelphia Union,0.0,0.0,11.0
Héber,New York City FC,24.0,15.0,0.0
Ilsinho,Philadelphia Union,0.0,0.0,8.0
Jack Price,Colorado Rapids,0.0,0.0,11.0
Jamiro Monteiro,Philadelphia Union,0.0,0.0,9.0
Jan Gregus,Minnesota United FC,0.0,0.0,11.0
Jefferson Savarino,Real Salt Lake,30.0,9.0,0.0
Jeremy Ebobisse,Portland Timbers,35.0,11.0,0.0
Jesús Ferreira,FC Dallas,34.0,8.0,6.0
Johnny Russell,Sporting Kansas City,28.0,9.0,9.0
Jordan Morris,Seattle Sounders FC,30.0,13.0,8.0
Josef Martínez,Atlanta United FC,32.0,28.0,0.0
Jozy Altidore,Toronto FC,23.0,12.0,7.0
Julian Gressel,Atlanta United FC,36.0,8.0,13.0
Kacper Przybylko,Philadelphia Union,27.0,15.0,0.0
Kai Wagner,Philadelphia Union,0.0,0.0,8.0
Kaku,Red Bull New York,0.0,0.0,8.0
Kei Kamara,Colorado Rapids,29.0,14.0,0.0
Krisztian Nemeth,Sporting Kansas City,24.0,8.0,0.0
Latif Blessing,LAFC,0.0,0.0,7.0
Lee Nguyen,LAFC,0.0,0.0,7.0
Lucas Rodríguez,D.C. United,34.0,7.0,0.0
Magnus Eriksson,San Jose Earthquakes,0.0,0.0,10.0
Marc Rzatkowski,Red Bull New York,0.0,0.0,9.0
Marco Fabián,Philadelphia Union,25.0,8.0,0.0
Mark Delgado,Toronto FC,0.0,0.0,7.0
Mark-Anthony Kaye,LAFC,0.0,0.0,8.0
Mauro Manotas,Houston Dynamo FC,32.0,13.0,8.0
Maxi Morález,New York City FC,0.0,0.0,21.0
Michael Barrios,FC Dallas,0.0,0.0,16.0
Nani,Orlando City SC,30.0,12.0,10.0
Nemanja Nikolic,Chicago Fire FC,31.0,12.0,0.0
Nick DeLeon,Toronto FC,36.0,8.0,0.0
Nico Gaitan,Chicago Fire FC,0.0,0.0,12.0
Nicolás Lodeiro,Seattle Sounders FC,32.0,9.0,17.0
Orji Okwonkwo,CF Montréal,28.0,8.0,0.0
Pedro Santos,Columbus Crew,33.0,11.0,6.0
Przemyslaw Frankowski,Chicago Fire FC,0.0,0.0,9.0
Raúl Ruidíaz,Seattle Sounders FC,26.0,15.0,7.0
Romain Métanire,Minnesota United FC,0.0,0.0,7.0
Sam Johnson,Real Salt Lake,26.0,9.0,0.0
Saphir Taïder,CF Montréal,32.0,9.0,7.0
Sebastián Blanco,Portland Timbers,0.0,0.0,12.0
Tesho Akindele,Orlando City SC,28.0,10.0,0.0
Valentín Castellanos,New York City FC,31.0,11.0,7.0
Valeri Qazaishvili,San Jose Earthquakes,32.0,8.0,0.0
Wayne Rooney,D.C. United,29.0,11.0,9.0
Zlatan Ibrahimovic,LA Galaxy,31.0,31.0,8.0
