Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Columbus Crew,30,17,6,7,50,36,14,57
Eastern Conference,2,Chicago Fire FC,30,13,7,10,44,33,11,46
Eastern Conference,3,New England Revolution,30,12,7,11,40,43,-3,43
Eastern Conference,4,Sporting Kansas City,30,11,9,10,37,39,-2,42
Eastern Conference,5,Red Bull New York,30,10,9,11,42,48,-6,39
Eastern Conference,6,D.C. United,30,11,4,15,43,51,-8,37
Eastern Conference,7,Toronto FC,30,9,8,13,34,43,-9,35
Western Conference,1,Houston Dynamo FC,30,13,12,5,45,32,13,51
Western Conference,2,Chivas USA,30,12,7,11,40,41,-1,43
Western Conference,3,Real Salt Lake,30,10,10,10,40,39,1,40
Western Conference,4,Colorado Rapids,30,11,5,14,44,45,-1,38
Western Conference,5,FC Dallas,30,8,12,10,45,41,4,36
Western Conference,6,San Jose Earthquakes,30,8,9,13,32,38,-6,33
Western Conference,7,LA Galaxy,30,8,9,13,55,62,-7,33
