Team,P,yc,rc,PTS
Atlanta United FC,34,-,-,69
CF Montréal,34,-,-,46
Chicago Fire FC,34,-,-,32
Colorado Rapids,34,-,-,31
Columbus Crew,34,-,-,51
D.C. United,34,-,-,51
FC Dallas,34,-,-,57
Houston Dynamo FC,34,-,-,38
LA Galaxy,34,-,-,48
LAFC,34,-,-,57
Minnesota United FC,34,-,-,36
New England Revolution,34,-,-,41
New York City FC,34,-,-,56
Orlando City SC,34,-,-,28
Philadelphia Union,34,-,-,50
Portland Timbers,34,-,-,54
Real Salt Lake,34,-,-,49
Red Bull New York,34,-,-,71
San Jose Earthquakes,34,-,-,21
Seattle Sounders FC,34,-,-,59
Sporting Kansas City,34,-,-,62
Toronto FC,34,-,-,36
Vancouver Whitecaps,34,-,-,47
