Name,Team,P,G,A
Aitor Karanka,Colorado Rapids,58,0,1
Alain Nkong,Colorado Rapids,11,0,0
Bouna Coundoul,Colorado Rapids,9,0,0
Chris Wingert,Colorado Rapids,20,0,0
Clint Mathis,Colorado Rapids,47,4,0
Colin Clark,Colorado Rapids,12,0,0
Dan Gargan,Colorado Rapids,39,0,1
Daniel Wasson,Colorado Rapids,26,1,0
Dedi Ben Dayan,Colorado Rapids,28,4,2
Eric Denton,Colorado Rapids,44,0,2
Fabrice Noel,Colorado Rapids,14,1,0
Hunter Freeman,Colorado Rapids,49,0,0
Jacob Peterson,Colorado Rapids,49,4,3
Jean Philippe Peguero,Colorado Rapids,4,6,2
Joe Cannon,Colorado Rapids,60,0,0
Jovan Kirovski,Colorado Rapids,54,7,4
Kyle Beckerman,Colorado Rapids,66,7,3
Luchi Gonzalez,Colorado Rapids,2,0,0
Matt Crawford,Colorado Rapids,10,0,0
Melvin Tarley,Colorado Rapids,3,0,0
Mike Petke,Colorado Rapids,54,0,0
Nicolas Hernandez,Colorado Rapids,63,11,3
Pablo Mastroeni,Colorado Rapids,44,0,0
Terry Cooke,Colorado Rapids,45,2,9
Thiago Martins,Colorado Rapids,42,3,3
