Name,Team,P,G,A
Brad Davis,Houston Dynamo FC,21,4,7
Brian Ching,Houston Dynamo FC,24,9,2
Brian Mullan,Houston Dynamo FC,32,1,4
Chris Wondolowski,Houston Dynamo FC,23,1,3
Corey Ashe,Houston Dynamo FC,32,0,3
Craig Waibel,Houston Dynamo FC,25,0,2
Dwayne De Rosario,Houston Dynamo FC,30,8,5
Eddie Robinson,Houston Dynamo FC,29,2,2
Eric Ebert,Houston Dynamo FC,0,0,0
Eric Ebert,Houston Dynamo FC,0,0,0
Eric Ebert,Houston Dynamo FC,0,0,0
Eric Ebert,Houston Dynamo FC,0,0,0
Joseph Ngwenya,Houston Dynamo FC,34,8,8
Nate Jaqua,Houston Dynamo FC,38,8,2
Pat Onstad,Houston Dynamo FC,31,0,0
Patrick Ianni,Houston Dynamo FC,22,1,0
Paul Dalglish,Houston Dynamo FC,5,0,0
Ricardo Clark,Houston Dynamo FC,20,2,3
Richard Mulrooney,Houston Dynamo FC,35,0,7
Richard Mulrooney,Houston Dynamo FC,35,0,0
Richard Mulrooney,Houston Dynamo FC,1,0,7
Richard Mulrooney,Houston Dynamo FC,1,0,0
Ryan Cochrane,Houston Dynamo FC,29,1,0
Stuart Holden,Houston Dynamo FC,29,6,28
Wade Barrett,Houston Dynamo FC,34,0,6
Zach Wells,Houston Dynamo FC,5,0,0
