Name,Team,P,G,A
Abdoulie Mansally,New England Revolution,19,3,1
Adam Cristman,New England Revolution,18,6,1
Amaechi Igwe,New England Revolution,11,0,1
Argenis Fernandez,New England Revolution,2,0,0
Chase Hilgenbrinck,New England Revolution,4,0,0
Chris Albright,New England Revolution,29,0,1
Chris Tierney,New England Revolution,7,0,1
Doug Warren,New England Revolution,4,0,0
Gabriel Badilla,New England Revolution,7,0,0
Gary Flood,New England Revolution,5,0,0
Jay Heaps,New England Revolution,32,0,0
Jeff Larentowicz,New England Revolution,30,4,3
Joe Germanese,New England Revolution,0,0,0
Khano Smith,New England Revolution,23,2,2
Matt Reis,New England Revolution,30,0,2
Mauricio Castro,New England Revolution,26,0,4
Michael Parkhurst,New England Revolution,30,0,1
Mikokheli Dube,New England Revolution,23,4,3
Pat Phelan,New England Revolution,11,0,0
Sainey Nyassi,New England Revolution,27,2,1
Shalrie Joseph,New England Revolution,29,1,0
Steve Ralston,New England Revolution,21,8,6
Taylor Twellman,New England Revolution,17,8,1
Wells Thompson,New England Revolution,21,0,0
