Name,Team,P,G,A
Andrew Boyens,Red Bull New York,21,0,0
Carlos Mendes,Red Bull New York,20,0,0
Chris Leitch,Red Bull New York,21,0,0
Claudio Reyna,Red Bull New York,0,0,1
Dane Richards,Red Bull New York,27,4,8
Danleigh Borman,Red Bull New York,15,2,0
Danny Cepero,Red Bull New York,6,1,0
Dave van den Bergh,Red Bull New York,30,8,3
Diego Jimenez,Red Bull New York,10,0,1
Gabriel Cichero,Red Bull New York,8,0,0
Jeff Parke,Red Bull New York,24,0,0
John Wolyniec,Red Bull New York,23,2,3
Jon Conway,Red Bull New York,28,0,0
Jorge Rojas,Red Bull New York,13,0,4
Jozy Altidore,Red Bull New York,8,3,1
Juan Pablo Angel,Red Bull New York,27,16,2
Juan Pietravallo,Red Bull New York,15,0,0
Kevin Goldthwaite,Red Bull New York,32,2,3
Luke Sassano,Red Bull New York,22,0,0
Macoumba Kandji,Red Bull New York,7,1,2
Mathew Mbuta,Red Bull New York,2,1,0
Mike Magee,Red Bull New York,26,5,0
Oscar Echeverry,Red Bull New York,9,0,0
Seth Stammler,Red Bull New York,26,1,2
Sinisa Ubiparipovic,Red Bull New York,20,1,3
