Name,Team,P,G,A
Andrew Dykstra,Chicago Fire FC,0,0,0
Austin Washington,Chicago Fire FC,32,0,0
Baggio Husidic,Chicago Fire FC,40,0,4
Bakary Soumaré,Chicago Fire FC,64,0,0
Brandon Prideaux,Chicago Fire FC,88,0,0
Brian McBride,Chicago Fire FC,100,28,8
C.J. Brown,Chicago Fire FC,84,0,0
Calen Carr,Chicago Fire FC,40,0,0
Chris Rolfe,Chicago Fire FC,124,28,0
Cuauhtemoc Blanco,Chicago Fire FC,96,24,28
Daniel Woolard,Chicago Fire FC,40,0,0
Dasan Robinson,Chicago Fire FC,60,4,0
Dave Myrie,Chicago Fire FC,0,0,0
Gonzalo Segares,Chicago Fire FC,52,4,0
John Thorrington,Chicago Fire FC,84,4,0
Jon Busch,Chicago Fire FC,132,0,0
Justin Mapp,Chicago Fire FC,92,4,4
Logan Pause,Chicago Fire FC,116,0,8
Marco Pappa,Chicago Fire FC,132,20,20
Michael Banner,Chicago Fire FC,92,8,8
Patrick Nyarko,Chicago Fire FC,132,16,16
Peter Lowry,Chicago Fire FC,36,12,0
Stefan Dimitrov,Chicago Fire FC,28,0,0
Tim Ward,Chicago Fire FC,76,0,12
Wilman Conde,Chicago Fire FC,80,8,12
