Name,Team,P,G,A
Andrew Williams,Real Salt Lake,108,12,20
Chris Seitz,Real Salt Lake,16,0,0
Chris Wingert,Real Salt Lake,136,0,4
Clint Mathis,Real Salt Lake,128,8,20
David Horst,Real Salt Lake,8,0,0
Fabián Espíndola,Real Salt Lake,100,12,12
Jamison Olave,Real Salt Lake,116,12,0
Javier Moral,Real Salt Lake,120,8,20
Jean Alexander,Real Salt Lake,20,0,0
Kyle Beckerman,Real Salt Lake,116,12,4
Kyle Reynish,Real Salt Lake,4,0,0
Luis Miguel Escalada,Real Salt Lake,20,4,0
Nat Borchers,Real Salt Lake,136,4,0
Ned Grabavoy,Real Salt Lake,88,0,8
Nick Rimando,Real Salt Lake,120,0,4
Pablo Campos,Real Salt Lake,40,8,4
Pablo Campos,Real Salt Lake,40,8,4
Pablo Campos,Real Salt Lake,4,0,4
Pablo Campos,Real Salt Lake,4,0,4
Rachid El Khalifi,Real Salt Lake,16,0,0
Raphael Cox,Real Salt Lake,24,4,0
Robbie Findley,Real Salt Lake,124,60,8
Robbie Russell,Real Salt Lake,92,0,0
Tino Nunez,Real Salt Lake,12,0,0
Tony Beltran,Real Salt Lake,96,0,0
Will Johnson,Real Salt Lake,120,4,4
Yura Movsisyan,Real Salt Lake,120,32,12
