Name,Team,P,G,A
A.J. DeLaGarza,LA Galaxy,20,1,0
Alan Gordon,LA Galaxy,12,1,0
Alequito,LA Galaxy,12,1,0
Alex Cazumba,LA Galaxy,5,0,1
Alex Cazumba dos Santos,LA Galaxy,2,0,0
Bryan Jordan,LA Galaxy,8,0,0
Chris Birchall,LA Galaxy,28,0,2
Chris Klein,LA Galaxy,11,0,1
Clint Mathis,LA Galaxy,9,0,0
David Beckham,LA Galaxy,10,2,3
Dema Kovalenko,LA Galaxy,12,1,0
Donovan Ricketts,LA Galaxy,33,0,0
Eddie Lewis,LA Galaxy,16,0,0
Edson Buddle,LA Galaxy,28,19,2
Gregg Berhalter,LA Galaxy,17,0,0
Jovan Kirovski,LA Galaxy,23,4,1
Juninho,LA Galaxy,28,2,2
Landon Donovan,LA Galaxy,28,7,14
Leonardo,LA Galaxy,10,0,0
Michael Stephens,LA Galaxy,25,1,3
Mike Magee,LA Galaxy,19,1,0
Omar González,LA Galaxy,32,3,1
Sean Franklin,LA Galaxy,28,0,5
Todd Dunivant,LA Galaxy,28,1,0
Tristan Bowen,LA Galaxy,18,2,2
