Name,Team,P,G,A
Blaise Nkufo,Seattle Sounders FC,13,5,0
Brad Evans,Seattle Sounders FC,12,1,2
Fredy Montero,Seattle Sounders FC,31,10,4
James Riley,Seattle Sounders FC,29,2,2
Jeff Parke,Seattle Sounders FC,21,0,0
Jhon Kennedy Hurtado,Seattle Sounders FC,9,0,0
Kasey Keller,Seattle Sounders FC,32,0,1
Leonardo Gonzalez,Seattle Sounders FC,29,1,0
Michael Fucito,Seattle Sounders FC,5,1,0
Miguel Montaño,Seattle Sounders FC,6,0,0
Mike Seamon,Seattle Sounders FC,8,0,0
Nate Jaqua,Seattle Sounders FC,17,0,1
Nathan Sturgis,Seattle Sounders FC,22,1,7
Osvaldo Alonso,Seattle Sounders FC,25,1,2
Pat Noonan,Seattle Sounders FC,12,2,1
Patrick Ianni,Seattle Sounders FC,27,0,0
Peter Vagenas,Seattle Sounders FC,7,0,0
Roger Levesque,Seattle Sounders FC,16,1,0
Sanna Nyassi,Seattle Sounders FC,26,2,1
Steve Zakuani,Seattle Sounders FC,31,11,5
Tyrone Marshall,Seattle Sounders FC,22,0,0
Tyson Wahl,Seattle Sounders FC,4,0,1
Zach Scott,Seattle Sounders FC,4,0,0
Álvaro Fernández,Seattle Sounders FC,14,2,1
