Name,Team,P,G,A
Andrew Jacobson,FC Dallas,28,1,5
Andrew Wiedeman,FC Dallas,3,0,0
Bobby Warshaw,FC Dallas,17,1,0
Brek Shea,FC Dallas,32,10,4
Bruno Guarda,FC Dallas,11,0,1
Daniel Cruz,FC Dallas,11,1,0
Daniel Hernández,FC Dallas,31,2,2
David Ferreira,FC Dallas,6,3,1
Fabián Castillo,FC Dallas,22,2,2
George John,FC Dallas,32,3,1
Jack Stewart,FC Dallas,2,0,1
Jackson Goncalves,FC Dallas,29,3,2
Jair Benítez,FC Dallas,27,0,0
Jeremy Hall,FC Dallas,21,0,2
Kevin Hartman,FC Dallas,34,0,0
Maicon Santos,FC Dallas,31,8,3
Marvin Chávez,FC Dallas,32,6,2
Maykel Galindo,FC Dallas,6,0,0
Milton Rodríguez,FC Dallas,13,1,1
Ricardo Villar,FC Dallas,21,0,1
Ruben Luna,FC Dallas,14,2,1
Ugo Ihemelu,FC Dallas,32,2,1
Zach Loyd,FC Dallas,31,1,3
