Name,Team,P,G,A
Alain Rochat,Vancouver Whitecaps,28,3,1
Atiba Harris,Vancouver Whitecaps,5,2,1
Camilo Sanvezzo,Vancouver Whitecaps,32,12,1
Davide Chiumiento,Vancouver Whitecaps,26,2,7
Eric Hassli,Vancouver Whitecaps,26,10,1
Gershon Koffie,Vancouver Whitecaps,29,1,0
Greg Janicki,Vancouver Whitecaps,10,0,0
Jay DeMerit,Vancouver Whitecaps,21,0,0
Jay Nolly,Vancouver Whitecaps,14,0,0
Jeb Brovsky,Vancouver Whitecaps,24,0,0
Joe Cannon,Vancouver Whitecaps,20,0,0
John Thorrington,Vancouver Whitecaps,11,0,0
Jonathan Leathers,Vancouver Whitecaps,21,0,0
Jordan Harvey,Vancouver Whitecaps,30,0,4
Long Tan,Vancouver Whitecaps,13,1,1
Michael Boxall,Vancouver Whitecaps,19,0,0
Mustapha Jarju,Vancouver Whitecaps,9,0,0
Nizar Khalfan,Vancouver Whitecaps,22,1,3
Omar Salgado,Vancouver Whitecaps,14,1,1
Peter Vagenas,Vancouver Whitecaps,16,0,0
Russell Teibert,Vancouver Whitecaps,11,0,0
Shea Salinas,Vancouver Whitecaps,26,1,3
Wes Knight,Vancouver Whitecaps,12,0,1
