Name,Team,P,G,A
Alejandro Bedoya,Philadelphia Union,34,5,4
Andre Blake,Philadelphia Union,28,0,0
Andrew Wooten,Philadelphia Union,9,0,1
Anthony Fontana,Philadelphia Union,8,1,1
Aurélien Collin,Philadelphia Union,6,0,0
Auston Trusty,Philadelphia Union,22,1,0
Brenden Aaronson,Philadelphia Union,30,3,2
Carlos Coronel,Philadelphia Union,4,0,0
Cory Burke,Philadelphia Union,7,2,0
Fafà Picault,Philadelphia Union,34,5,5
Haris Medunjanin,Philadelphia Union,36,1,11
Ilsinho,Philadelphia Union,30,5,8
Jack Elliott,Philadelphia Union,36,3,0
Jamiro Monteiro,Philadelphia Union,28,4,9
Kacper Przybylko,Philadelphia Union,27,15,4
Kai Wagner,Philadelphia Union,32,0,8
Marco Fabián,Philadelphia Union,25,8,1
Mark McKenzie,Philadelphia Union,9,0,0
Matthew Freese,Philadelphia Union,6,0,0
Matthew Real,Philadelphia Union,3,0,1
Olivier Mbaizo,Philadelphia Union,3,0,1
Raymon Gaddis,Philadelphia Union,36,0,1
Sergio Santos,Philadelphia Union,19,4,2
Warren Creavalle,Philadelphia Union,14,0,1
