Name,Team,P,G,A
Andres Flores,Portland Timbers,15,0,1
Andy Polo,Portland Timbers,20,0,1
Bill Tuiloma,Portland Timbers,26,1,0
Brian Fernandez,Portland Timbers,19,11,1
Claude Dielna,Portland Timbers,16,0,0
Cristhian Paredes,Portland Timbers,23,4,2
Dairon Asprilla,Portland Timbers,14,3,1
Diego Chará,Portland Timbers,31,0,2
Diego Valeri,Portland Timbers,32,8,16
Eryk Williamson,Portland Timbers,7,0,0
Jeff Attinella,Portland Timbers,10,0,0
Jeremy Ebobisse,Portland Timbers,35,11,1
Jorge Moreira,Portland Timbers,27,2,4
Jorge Villafaña,Portland Timbers,24,0,5
Julio Cascante,Portland Timbers,22,0,1
Larrys Mabiala,Portland Timbers,23,2,0
Lucas Melano,Portland Timbers,8,0,0
Marco Farfan,Portland Timbers,3,0,0
Marvin Loría,Portland Timbers,20,2,1
Renzo Zambrano,Portland Timbers,10,0,1
Sebastián Blanco,Portland Timbers,31,6,12
Steve Clark,Portland Timbers,25,0,0
Tomás Conechny,Portland Timbers,16,1,3
Zarek Valentin,Portland Timbers,21,0,0
