Name,Team,P,G,A
Abdul Rwatubyaye,Sporting Kansas City,2,0,0
Andreu Fontàs,Sporting Kansas City,13,0,0
Benny Feilhaber,Sporting Kansas City,26,4,4
Botond Baráth,Sporting Kansas City,21,1,0
Dániel Sallói,Sporting Kansas City,28,1,1
Erik Hurtado,Sporting Kansas City,13,2,0
Felipe Gutiérrez,Sporting Kansas City,32,12,3
Felipe Hernàndez,Sporting Kansas City,2,0,0
Gedion Zelalem,Sporting Kansas City,9,0,0
Gerso,Sporting Kansas City,25,2,6
Gianluca Busio,Sporting Kansas City,22,3,1
Graham Smith,Sporting Kansas City,11,1,1
Graham Zusi,Sporting Kansas City,27,0,2
Ilie Sánchez,Sporting Kansas City,32,2,5
Jimmy Medranda,Sporting Kansas City,10,0,1
Johnny Russell,Sporting Kansas City,28,9,9
Krisztian Nemeth,Sporting Kansas City,24,8,2
Luís Martins,Sporting Kansas City,10,0,0
Matt Besler,Sporting Kansas City,27,0,0
Nicolas Hasler,Sporting Kansas City,12,0,1
Roger Espinoza,Sporting Kansas City,16,0,3
Seth Sinovic,Sporting Kansas City,22,0,1
Tim Melia,Sporting Kansas City,32,0,0
Yohan Croizet,Sporting Kansas City,20,3,2
