Name,Team,P,G,A
Axel Sjöberg,D.C. United,2,0,0
Bill Hamid,D.C. United,17,0,0
Chris Odoi-Atsem,D.C. United,15,1,0
Chris Seitz,D.C. United,6,0,0
Donovan Pines,D.C. United,16,3,0
Edison Flores,D.C. United,13,0,3
Erik Sorga,D.C. United,17,1,0
Felipe,D.C. United,7,0,2
Frédéric Brillant,D.C. United,19,2,0
Gelmín Rivas,D.C. United,13,2,0
Griffin Yow,D.C. United,12,2,0
Joseph Mora,D.C. United,21,0,1
Julian Gressel,D.C. United,22,2,3
Júnior Moreno,D.C. United,20,0,1
Kevin Paredes,D.C. United,17,0,1
Mohammed Abu,D.C. United,6,0,0
Moses Nyeman,D.C. United,11,0,1
Ola Kamara,D.C. United,22,4,0
Oniel Fisher,D.C. United,15,0,0
Russell Canouse,D.C. United,15,2,0
Steve Birnbaum,D.C. United,10,0,1
Ulises Segura,D.C. United,10,0,0
Yamil Asad,D.C. United,23,3,2
Yordy Reyna,D.C. United,13,1,2
