Name,Team,P,G,A
Adrien Perez,LAFC,10,0,0
Andy Nájar,LAFC,8,0,1
Bradley Wright-Phillips,LAFC,19,8,6
Brian Rodríguez,LAFC,19,2,7
Bryce Duke,LAFC,11,0,0
Carlos Vela,LAFC,8,4,2
Christian Torres,LAFC,9,1,0
Daniel Musovski,LAFC,15,5,1
Dejan Janković,LAFC,16,1,0
Diego Palacios,LAFC,16,0,1
Diego Rossi,LAFC,19,14,4
Eddie Segura,LAFC,23,2,1
Eduard Atuesta,LAFC,18,2,2
Erik Dueñas,LAFC,2,0,0
Francisco Ginella,LAFC,23,1,4
Jesús Murillo,LAFC,6,0,1
Jordan Harvey,LAFC,12,0,1
José Cifuentes,LAFC,18,1,3
Kenneth Vermeer,LAFC,8,0,0
Kwadwo Opoku,LAFC,4,0,1
Latif Blessing,LAFC,22,1,4
Mark-Anthony Kaye,LAFC,17,3,4
Mohamed El-Munir,LAFC,13,1,1
Pablo Sisniega,LAFC,15,0,0
Tristan Blackmon,LAFC,15,0,0
