Name,Team,P,G,A
Abu Danladi,Nashville SC,17,2,1
Alan Winn,Nashville SC,7,0,0
Alex Muyl,Nashville SC,23,0,3
Alistair Johnston,Nashville SC,21,0,1
Aníbal Godoy,Nashville SC,21,1,0
Brayan Beckeles,Nashville SC,2,0,0
Daniel Lovitz,Nashville SC,24,1,2
Daniel Ríos,Nashville SC,21,5,0
Dave Romney,Nashville SC,26,1,2
David Accam,Nashville SC,7,1,0
Dax McCarty,Nashville SC,24,2,4
Derrick Jones,Nashville SC,21,0,2
Dominique Badji,Nashville SC,12,1,1
Eric Miller,Nashville SC,7,0,0
Handwalla Bwana,Nashville SC,9,1,1
Hany Mukhtar,Nashville SC,18,5,4
Jack Maher,Nashville SC,3,0,0
Jalil Anibaba,Nashville SC,13,0,0
Jhonder Cádiz,Nashville SC,10,2,0
Joe Willis,Nashville SC,26,0,0
Matt LaGrassa,Nashville SC,9,0,0
Randall Leal,Nashville SC,24,4,4
Tah Anunga,Nashville SC,17,0,0
Taylor Washington,Nashville SC,17,0,1
Walker Zimmerman,Nashville SC,25,3,1
