"Name","Team","P","G","A"
"Abdoulaye Cissoko","Seattle Sounders FC","15","0","0"
"Alex Roldan","Seattle Sounders FC","30","1","3"
"Brad Smith","Seattle Sounders FC","28","3","4"
"Cristian Roldan","Seattle Sounders FC","29","6","6"
"Daniel Leyva","Seattle Sounders FC","24","0","0"
"Ethan Dobbelaere","Seattle Sounders FC","7","0","0"
"Fredy Montero","Seattle Sounders FC","30","7","6"
"Jimmy Medranda","Seattle Sounders FC","25","4","3"
"Jordan Morris","Seattle Sounders FC","3","0","0"
"Jordy Delem","Seattle Sounders FC","4","0","0"
"Joshua Atencio","Seattle Sounders FC","25","0","2"
"João Paulo","Seattle Sounders FC","32","3","11"
"Kelyn Rowe","Seattle Sounders FC","35","1","3"
"Léo Chú","Seattle Sounders FC","8","1","1"
"Nicolas Benezet","Seattle Sounders FC","25","3","2"
"Nicolás Lodeiro","Seattle Sounders FC","10","0","1"
"Nouhou Tolo","Seattle Sounders FC","19","0","1"
"Raúl Ruidíaz","Seattle Sounders FC","27","17","1"
"Reed Baker-Whiting","Seattle Sounders FC","4","0","0"
"Shane O'Neill","Seattle Sounders FC","28","1","0"
"Stefan Cleveland","Seattle Sounders FC","15","0","0"
"Stefan Frei","Seattle Sounders FC","18","0","0"
"Will Bruin","Seattle Sounders FC","24","3","4"
"Xavier Arreaga","Seattle Sounders FC","27","2","0"
"Yeimar Gómez","Seattle Sounders FC","34","1","0"
