Name,Team,P,G,A
Alejandro Pozuelo,Toronto FC,19,1,4
Alex Bono,Toronto FC,24,0,0
Auro,Toronto FC,25,0,3
Ayo Akinola,Toronto FC,11,3,0
Chris Mavinga,Toronto FC,22,0,0
Dom Dwyer,Toronto FC,14,0,1
Eriq Zavaleta,Toronto FC,14,0,0
Ifunanyachi Achara,Toronto FC,14,2,1
Jacob Shaffelburg,Toronto FC,20,3,3
Jahkeele Marshall-Rutty,Toronto FC,0,0,1
Jayden Nelson,Toronto FC,0,0,1
Jonathan Osorio,Toronto FC,24,4,2
Jordan Perruzza,Toronto FC,5,1,0
Jozy Altidore,Toronto FC,16,4,0
Justin Morrow,Toronto FC,21,0,1
Kemar Lawrence,Toronto FC,25,1,0
Luke Singh,Toronto FC,6,1,0
Mark Delgado,Toronto FC,30,3,2
Michael Bradley,Toronto FC,32,1,5
Nick DeLeon,Toronto FC,16,1,0
Noble Okello,Toronto FC,14,1,1
Omar González,Toronto FC,27,3,1
Patrick Mullins,Toronto FC,25,0,3
Ralph Priso-Mbongue,Toronto FC,11,1,2
Richie Laryea,Toronto FC,27,3,1
Tsubasa Endoh,Toronto FC,11,1,1
Yeferson Soteldo,Toronto FC,24,3,10
