Name,Team,P,G,A
Aiden Mcfadden,Atlanta United FC,11,0,0
Alan Franco,Atlanta United FC,30,1,2
Amar Sejdic,Atlanta United FC,22,0,2
Andrew Gutman,Atlanta United FC,24,3,2
Bobby Shuttleworth,Atlanta United FC,7,0,0
Brad Guzan,Atlanta United FC,7,0,0
Brooks Lennon,Atlanta United FC,24,2,6
Caleb Wiley,Atlanta United FC,25,1,1
Dom Dwyer,Atlanta United FC,21,4,0
Edwin Mosquera,Atlanta United FC,11,0,2
Emerson Hyndman,Atlanta United FC,9,0,0
Franco Ibarra,Atlanta United FC,19,0,1
George Campbell,Atlanta United FC,20,0,0
Josef Martínez,Atlanta United FC,25,9,4
Juanjo Purata,Atlanta United FC,16,6,0
Luiz Araújo,Atlanta United FC,27,4,5
Marcelino Moreno,Atlanta United FC,29,2,6
Matheus Rossetto,Atlanta United FC,23,0,1
Miles Robinson,Atlanta United FC,9,0,0
Rocco Ríos Novo,Atlanta United FC,15,0,0
Ronald Hernández,Atlanta United FC,13,0,0
Ronaldo Cisneros,Atlanta United FC,28,7,1
Santiago Sosa,Atlanta United FC,21,1,0
Thiago Almada,Atlanta United FC,28,6,8
