Name,Team,P,G,A
Alexander Ring,Austin FC,36,4,5
Andrew Tarbell,Austin FC,4,0,0
Brad Stuver,Austin FC,33,0,0
Cecilio Domínguez,Austin FC,4,2,0
Dani Pereira,Austin FC,33,2,0
Danny Hoesen,Austin FC,15,3,0
Diego Fagundez,Austin FC,36,6,15
Emiliano Rigoni,Austin FC,9,0,0
Ethan Finlay,Austin FC,36,5,5
Felipe,Austin FC,30,1,2
Hector Jimenez,Austin FC,14,0,2
Jared Stroud,Austin FC,5,0,0
Jhohan Romaña,Austin FC,9,0,0
Jhojan Valencia,Austin FC,13,0,1
Jon Gallagher,Austin FC,34,1,4
Julio Cascante,Austin FC,34,3,3
Kipp Keller,Austin FC,6,0,0
Maximiliano Urruti,Austin FC,34,9,1
Moussa Djitté,Austin FC,19,5,2
Nick Lima,Austin FC,36,0,4
Owen Wolff,Austin FC,25,0,1
Rodney Redes,Austin FC,12,0,0
Ruben Gabrielsen,Austin FC,35,2,2
Sebastián Driussi,Austin FC,36,24,5
Washington Corozo,Austin FC,0,0,1
Zan Kolmanic,Austin FC,22,0,2
