Name,Team,P,G,A
Ahmed Hamdi,CF Montréal,9,0,1
Alistair Johnston,CF Montréal,34,4,4
Djordje Mihailovic,CF Montréal,28,10,5
Gabriele Corbo,CF Montréal,13,0,0
Ismaël Koné,CF Montréal,27,3,3
James Pantemis,CF Montréal,12,0,0
Joaquín Torres,CF Montréal,28,3,4
Joel Waterman,CF Montréal,31,3,2
Jojea Kwizera,CF Montréal,9,0,1
Kamal Miller,CF Montréal,28,2,3
Kei Kamara,CF Montréal,33,8,7
Lassi Lappalainen,CF Montréal,29,2,5
Mason Toye,CF Montréal,19,2,0
Mathieu Choinière,CF Montréal,26,2,0
Matko Miljevic,CF Montréal,21,1,1
Rida Zouhir,CF Montréal,5,0,0
Romell Quioto,CF Montréal,31,15,6
Rudy Camacho,CF Montréal,30,1,0
Róbert Orri Thorkelsson,CF Montréal,10,0,0
Samuel Piette,CF Montréal,27,0,3
Sunusi Ibrahim,CF Montréal,5,0,0
Sébastian Breza,CF Montréal,23,0,0
Victor Wanyama,CF Montréal,33,1,2
Zachary Brault-Guillard,CF Montréal,19,4,4
Zorhan Bassong,CF Montréal,10,0,0
