Name,Team,P,G,A
Adilson Malanda,Charlotte FC,30,0,1
Andrew Privett,Charlotte FC,13,0,0
Ashley Westwood,Charlotte FC,30,3,4
Ben Bender,Charlotte FC,17,3,3
Bill Tuiloma,Charlotte FC,17,0,1
Brandon Cambridge,Charlotte FC,9,2,0
Brandt Bronico,Charlotte FC,33,1,5
Brecht Dejaegere,Charlotte FC,10,1,1
Derrick Jones,Charlotte FC,28,0,0
Enzo Copetti,Charlotte FC,27,6,2
George Marks,Charlotte FC,7,0,0
Guzmán Corujo,Charlotte FC,6,0,0
Harrison Afful,Charlotte FC,15,0,2
Jan Sobocinski,Charlotte FC,13,0,0
Jaylin Lindsey,Charlotte FC,21,1,5
Jere Uronen,Charlotte FC,10,0,0
Justin Meram,Charlotte FC,32,4,6
Kamil Jozwiak,Charlotte FC,26,2,7
Karol Swiderski,Charlotte FC,32,12,6
Kerwin Vargas,Charlotte FC,30,5,6
Kristijan Kahlina,Charlotte FC,25,0,2
McKinze Gaines,Charlotte FC,19,1,1
Nathan Byrne,Charlotte FC,32,0,1
Patrick Agyemang,Charlotte FC,13,2,0
Scott Arfield,Charlotte FC,14,2,0
