Name,Team,P,G,A
Aaron-Salem Boupendza,FC Cincinnati,14,6,1
Alec Kann,FC Cincinnati,1,0,0
Alvas Powell,FC Cincinnati,27,0,1
Arquímides Ordóñez,FC Cincinnati,8,0,0
Benjamin Stitz,FC Cincinnati,1,0,0
Brandon Vázquez,FC Cincinnati,33,9,4
Brenner,FC Cincinnati,8,1,0
Bret Halsey,FC Cincinnati,10,0,1
Dominique Badji,FC Cincinnati,27,5,3
Gerardo Valenzuela,FC Cincinnati,2,0,0
Ian Murphy,FC Cincinnati,27,0,2
Júnior Moreno,FC Cincinnati,33,4,3
Luciano Acosta,FC Cincinnati,36,19,16
Malik Pinto,FC Cincinnati,23,0,0
Marco Angulo,FC Cincinnati,26,0,2
Matt Miazga,FC Cincinnati,29,0,1
Nick Hagglund,FC Cincinnati,27,1,0
Obinna Nwobodo,FC Cincinnati,33,2,5
Raymon Gaddis,FC Cincinnati,31,0,0
Roman Celentano,FC Cincinnati,37,0,0
Santiago Arias,FC Cincinnati,29,2,1
Sergio Santos,FC Cincinnati,28,4,1
Yerson Mosquera,FC Cincinnati,30,3,1
Yuya Kubo,FC Cincinnati,29,0,3
Álvaro Barreal,FC Cincinnati,38,7,11
