Name,Team,P,G,A
Benjamin Cremaschi,Inter Miami CF,28,2,4
Christopher McVey,Inter Miami CF,16,0,1
Corentin Jean,Inter Miami CF,15,1,0
David Ruiz,Inter Miami CF,20,2,1
DeAndre Yedlin,Inter Miami CF,28,0,5
Diego Gómez,Inter Miami CF,5,1,0
Dixon Arroyo,Inter Miami CF,24,1,0
Drake Callender,Inter Miami CF,33,0,0
Facundo Farías,Inter Miami CF,11,3,2
Franco Negri,Inter Miami CF,16,1,1
Gregore,Inter Miami CF,0,0,1
Harvey Neville,Inter Miami CF,0,0,0
Ian Fray,Inter Miami CF,11,1,1
Jean Mota,Inter Miami CF,13,0,4
Jordi Alba,Inter Miami CF,7,1,0
Josef Martínez,Inter Miami CF,27,7,1
Kamal Miller,Inter Miami CF,28,0,0
Leonardo Campana,Inter Miami CF,26,9,3
Lionel Messi,Inter Miami CF,6,1,2
Nicolás Stefanelli,Inter Miami CF,25,2,1
Noah Allen,Inter Miami CF,19,1,2
Robbie Robinson,Inter Miami CF,9,1,0
Robert Taylor,Inter Miami CF,27,4,7
Rodolfo Pizarro,Inter Miami CF,13,0,1
Sergio Busquets,Inter Miami CF,0,0,2
Serhiy Kryvtsov,Inter Miami CF,26,1,0
Shanyder Borgelin,Inter Miami CF,10,1,0
Tomás Avilés,Inter Miami CF,11,1,1
