Name,Team,P,G,A
Alfredo Morales,New York City FC,22,0,1
Andres Jasson,New York City FC,21,3,1
Andrés Perea,New York City FC,18,2,0
Birk Risa,New York City FC,10,0,1
Braian Cufré,New York City FC,25,2,3
Gabriel Pereira,New York City FC,22,6,3
Gabriel Segal,New York City FC,10,2,0
James Sands,New York City FC,26,0,1
Julián Fernández,New York City FC,9,2,0
Justin Haak,New York City FC,14,1,0
Keaton Parks,New York City FC,32,2,3
Kevin O'Toole,New York City FC,21,0,0
Luis Barraza,New York City FC,24,0,0
Matthew Freese,New York City FC,10,0,0
Matías Pellegrini,New York City FC,24,1,1
Maxime Chanot,New York City FC,19,1,0
Mitja Ilenic,New York City FC,22,0,2
Monsef Bakrar,New York City FC,10,3,0
Richard Ledezma,New York City FC,23,0,5
Santiago Rodríguez,New York City FC,31,5,8
Stephen Turnbull,New York City FC,11,0,1
Talles Magno,New York City FC,30,4,3
Tayvon Gray,New York City FC,28,0,1
Thiago,New York City FC,4,1,0
Thiago Martins,New York City FC,26,0,1
