Name,Team,P,G,A
Abdi Salim,Orlando City SC,3,0,0
Alejandro Granados,Orlando City SC,1,0,0
Antônio Carlos,Orlando City SC,21,1,2
César Araujo,Orlando City SC,36,1,6
Dagur Thórhallsson,Orlando City SC,33,2,3
Duncan McGuire,Orlando City SC,32,13,3
Ercan Kara,Orlando City SC,15,5,2
Facundo Torres,Orlando City SC,33,14,6
Felipe,Orlando City SC,17,0,1
Gastón González,Orlando City SC,18,0,2
Iván Angulo,Orlando City SC,37,6,8
Jack Lynn,Orlando City SC,3,0,0
Júnior Urso,Orlando City SC,12,0,0
Kyle Smith,Orlando City SC,28,1,3
Luca Petrasso,Orlando City SC,12,0,0
Martín Ojeda,Orlando City SC,36,6,10
Mason Stajduhar,Orlando City SC,4,0,1
Mauricio Pereyra,Orlando City SC,34,0,12
Michael Halliday,Orlando City SC,18,0,2
Pedro Gallese,Orlando City SC,33,0,0
Rafael Santos,Orlando City SC,29,1,5
Ramiro Enrique,Orlando City SC,33,4,2
Robin Jansson,Orlando City SC,37,0,0
Rodrigo Schlegel,Orlando City SC,29,0,1
Wilder Cartagena,Orlando City SC,27,2,2
